timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,5.6885943,5.3318601,6.2129216,-1.9770992,4.0992365,2.0992367
10,5.7747850,5.3534074,6.3039007,-2.2977099,4.5801525,1.7404580
20,5.8633699,5.4467812,6.3039007,-2.4198472,4.4503818,0.7633588
30,6.3805151,5.6814117,6.6271162,-1.5801526,3.6564887,-2.8320611
40,5.4324160,5.5257893,5.9663200,-1.2595420,4.3282442,-1.9770992
50,5.4036856,5.1211715,5.8418221,-4.4122138,4.3206105,-0.9694657
60,5.3294659,5.3414369,6.3230543,-5.6183205,6.4045801,0.8320611
70,5.6143742,5.3869262,6.3637557,-4.8091602,7.1755724,1.8854961
80,5.7340837,5.3486195,6.3541789,-4.5267177,5.6564884,2.0000000
90,5.7652082,5.2648225,6.3278427,-4.2977099,3.7480917,1.9007634
100,5.7676024,5.3222833,6.3996682,-4.0839696,3.2290077,1.7862595
110,5.8346395,5.2839761,6.6175399,-3.9541984,3.4580152,1.3511450
120,5.8035154,5.3988972,6.6151457,-3.3435113,4.2595420,0.6717557
130,5.8250628,5.3294659,6.5744443,-3.1603053,5.7557254,-0.0916031
140,5.7508430,5.2959471,6.5121951,-2.9770992,6.1145039,-0.4045801
150,5.7652082,5.3079181,6.4475522,-3.0000000,6.1450381,-0.4503817
160,5.7939386,5.3294659,6.5888095,-3.4885497,5.9923663,-0.9312977
170,5.8394279,5.4108682,6.5648675,-2.7557251,5.2290077,-2.0687022
180,5.7699966,5.4515696,6.5576849,-1.8015267,4.0839696,-3.0610688
190,5.8011212,5.3294659,6.6031747,-0.7786260,1.7404580,-4.4732823
200,5.7077475,5.3390427,6.4762826,0.5114504,-1.0992366,-4.9694657
210,5.6407104,5.4467812,6.4786768,0.7709923,-4.0839696,-5.1450381
220,5.6981707,5.4180508,6.4834652,0.7938932,-5.1068702,-5.2290077
230,5.7723908,5.4467812,6.5696559,1.0381680,-4.6488547,-5.1679387
240,5.8729467,5.4779053,6.4068508,0.7328244,-3.3282442,-5.6488547
250,5.7269011,5.5042415,6.6151457,1.1755725,-2.7633588,-5.7557254
260,5.7053533,5.5257893,6.4834652,2.0916030,-2.0839694,-5.9236641
270,5.6694407,5.6239510,6.4858594,2.1297710,-1.3664122,-6.1984735
280,5.6670465,5.5497313,6.3422079,2.0000000,-0.1832061,-6.2748094
290,5.6431046,5.6670465,6.3613615,1.7404580,0.7557252,-5.7709923
300,5.5569139,5.7388721,6.3469963,1.3511450,0.3664122,-5.5190840
310,5.6431046,5.8250628,6.3589673,0.7633588,0.1908397,-5.5190840
320,5.7747850,5.9088597,6.4116392,0.3358779,-0.7557252,-6.5419846
330,5.7891502,6.0836353,6.4236102,0.6030535,-3.0381680,-7.1832061
340,5.8442163,6.2081332,6.5241661,1.7709924,-5.6259542,-8.3053436
350,6.1530671,7.2065101,7.1729918,10.7251911,-11.0000000,-12.5038166
360,6.6319046,7.6853480,6.9886389,16.7709923,-11.5038166,-16.6106873
370,7.6853480,8.5113440,6.6007805,19.9083977,-7.2290077,-24.0076332
380,7.6757712,10.2184010,4.6231799,10.7862597,12.7480917,-44.0152664
390,6.2368636,10.2950144,3.8091555,-1.2671756,9.4274807,-44.4045792
400,4.9320302,10.6756907,4.4053087,-10.4732828,-10.9236641,-38.0381660
410,3.8307030,10.7139978,5.6646523,-9.2824430,-45.7557259,-25.9389305
420,4.0485744,10.9366570,7.0915890,3.0305343,-85.3740463,-13.1832066
430,5.3941088,11.5854826,7.7954807,21.4732819,-113.6564865,-6.1068702
440,6.2655940,12.2390966,7.2065101,36.2442741,-124.2366409,-6.2442746
450,6.0620875,12.5958309,5.5162125,39.8396950,-119.2290039,-7.9160304
460,5.1379304,13.0291786,3.9384418,32.2442741,-107.6488571,-4.9923663
470,4.5345950,13.2494440,2.8826041,18.0229015,-97.0457993,0.5725191
480,3.6726866,13.2231083,2.9879484,-9.1832066,-91.7480927,15.4809160
490,3.5649481,12.8783455,3.6271970,-12.8396950,-98.7022934,22.6106873
500,3.5074875,12.7921543,4.3239059,-11.4732828,-107.8091583,28.4809170
510,2.6695213,12.8041248,4.0126615,-5.4809160,-118.7404556,34.7022896
520,1.9752063,12.2869806,3.3614421,-2.2671757,-134.6183167,44.8091621
530,1.1300575,12.2367020,1.8746504,-1.4732825,-150.4351196,58.2442741
540,1.6974803,12.0188313,0.7781116,-11.6946564,-154.5954132,73.0992355
550,2.7676830,12.9070749,0.1388630,-29.1832066,-149.0686951,81.2977066
560,3.4907281,12.6939926,0.0981618,-50.5801544,-134.1221313,84.1297684
570,3.4739690,11.5352049,0.8882443,-65.3511429,-119.4809189,85.4732819
580,2.7724714,10.2423429,0.7757174,-72.7328262,-115.3664093,89.0457993
590,1.6687500,8.6454182,-0.3160330,-79.3053436,-121.6870193,95.5114517
600,1.0534433,7.0077925,-1.2282192,-87.5648880,-136.4351196,108.9923630
610,1.0965388,4.5776901,-1.8770446,-93.7328262,-156.0000000,122.7022934
620,1.6519908,2.3271523,-2.7174051,-98.4198456,-171.5038147,138.0000000
630,3.3662305,-0.7829000,-3.6631098,-106.4580154,-175.8244324,149.2824402
640,5.6311336,-3.8283088,-4.5226240,-121.1068726,-166.6030579,153.5267181
650,8.8800488,-7.2783360,-3.9671719,-139.9313049,-142.3587799,146.9313049
660,11.7865944,-10.8815908,-1.9225341,-152.7022858,-95.5190811,127.0457993
670,13.5582952,-14.3435888,0.5410868,-151.9084015,-47.4961815,97.5954208
680,15.0139618,-17.1926746,2.0470319,-139.7938995,-6.1679387,66.8091583
690,15.8136215,-19.0338058,2.4492557,-128.1068726,29.3587780,41.4351158
700,15.0355101,-19.6131992,1.6807210,-127.8320618,43.8320618,30.6183205
710,13.2733860,-19.6131992,0.8212070,-147.0229034,27.3206100,42.0458031
720,12.8903160,-18.5334206,2.2577207,-179.8625946,-16.2442741,61.2213745
730,15.8399572,-14.7529955,7.8912482,-205.7175598,-64.9389343,57.5877876
740,18.6028519,-11.0994625,15.3371773,-197.2442780,-93.8702316,18.8244267
750,19.2612534,-8.7818871,19.6126022,-151.1679382,-101.3511429,-39.3358765
760,18.4376526,-8.9734221,19.6126022,-67.4351120,-80.8702316,-97.2442780
770,16.6731358,-9.8832140,19.6126022,45.5114517,-32.6641235,-145.5343475
780,14.4489336,-12.4952745,19.6126022,161.6564941,22.1832066,-176.7175598
790,11.2622671,-15.6963062,10.7786407,239.8167877,68.8778610,-181.0992432
800,7.5009956,-16.5725803,-1.5370697,250.1297760,103.3664093,-159.6183167
810,5.0277977,-15.2797174,-8.7986460,216.3816833,121.0229034,-122.4122162
820,4.4962878,-12.0116482,-9.8903971,160.0152740,116.9618301,-84.3969498
830,6.2248926,-7.6087341,-6.0309634,124.2137375,113.8549652,-64.0076370
840,8.0396881,-3.6415622,-1.8315549,118.1603088,107.8320618,-63.9541969
850,9.5911226,-1.1683644,0.2489957,124.7099228,103.1603088,-77.6488571
860,8.5735922,-0.1388630,0.3998296,136.6030579,102.7022934,-89.5496216
870,6.6151457,1.0055596,-1.2617378,135.9160309,104.7786255,-88.7938919
880,5.1355362,1.4676381,-2.8706331,122.0610657,109.5801544,-72.9618301
890,4.4077029,3.3805954,-3.3135581,100.5648880,118.2748108,-48.1374054
900,5.3270717,6.2799587,-2.2696917,74.5190811,132.7480927,-26.0152664
910,6.4451580,8.5759869,-0.3782819,56.6793900,145.0915985,-15.8091602
920,7.1131368,9.3612804,1.3359578,50.1603050,145.8320618,-13.1221371
930,7.9367380,8.7699156,2.1475880,49.2900772,137.2824402,-14.6870232
940,8.3006544,8.1761570,2.3463056,49.9847336,129.3206177,-18.6335869
950,7.8768835,8.2096758,2.0111191,49.4122124,120.1679382,-22.1526718
960,6.7348547,9.0763721,1.4077834,43.7099228,109.1679382,-19.2824421
970,6.8689294,10.2207947,1.6232605,32.9618340,104.4885483,-11.6793890
980,8.1977043,10.7762470,2.5857246,21.7862587,107.4274826,-11.7862597
990,8.3844519,11.7937775,3.3758070,15.1908398,113.7557220,-19.1068707
1000,8.0516596,11.6549139,3.3973548,12.1832066,114.0305328,-28.0076332
1010,7.4148049,10.6613255,2.7102225,8.2824430,113.2061081,-34.8015251
1020,6.6893654,10.0579901,2.4899571,1.3206106,110.3206100,-37.5190849
1030,7.2112985,9.9957409,2.5546002,-6.8854961,112.1145020,-40.2213745
1040,6.6869712,10.1202393,2.8203552,-15.8702288,127.2519073,-42.9083977
1050,5.0900469,10.2662840,2.6767037,-24.9541988,149.2213745,-40.6870232
1060,3.1699069,10.2926207,1.7166338,-35.7099228,158.5877838,-30.9847336
1070,2.2409613,10.1848822,1.5322813,-49.5343513,157.2977142,-17.1145039
1080,2.2481439,10.2782555,2.8610563,-59.7938919,153.1755676,-4.8015265
1090,3.6774750,10.2662840,4.1634955,-63.1679382,155.5801544,2.4427481
1100,4.7692256,10.2519188,4.6638808,-64.8244247,169.9770966,3.5801528
1110,4.7524662,10.5224628,4.2520804,-69.9923630,183.9084015,3.5190840
1120,4.7644372,10.9031391,3.6990228,-79.9770966,193.4656525,2.3816793
1130,4.4747400,11.1449518,3.9025288,-90.2442780,197.1221313,-0.4503817
1140,3.6080434,11.2383251,4.9272418,-95.5267181,188.3664093,-3.3740458
1150,2.9951310,11.2670555,6.4020624,-93.3053436,168.0000000,-4.8320613
1160,2.9927368,11.1808643,7.6661944,-83.6946564,146.8244324,-5.8778625
1170,2.8490853,11.0084829,8.3868456,-71.2748108,125.7099228,-5.5496182
1180,2.8323262,11.2072010,8.4347296,-57.0687027,102.9465637,-4.1908398
1190,3.1220231,11.7387114,8.2575598,-46.2519073,81.9923630,-4.9770994
1200,3.4069316,12.0810804,8.1953106,-37.8015251,62.2748108,-8.5496187
1210,3.8618276,12.3133163,7.7691450,-34.7022896,52.2748108,-11.9770994
1220,3.8737986,12.3372583,7.7212610,-38.9312973,54.6412201,-14.4198475
1230,3.6008608,12.5192165,8.1354561,-45.8167953,62.3740463,-14.6641226
1240,3.0430148,12.5383701,8.5927458,-52.0228996,71.5114517,-12.1755724
1250,2.0733681,12.5120344,9.0644016,-55.7328262,76.2824402,-6.2748094
1260,1.3120158,12.6389265,9.5791521,-57.7022896,77.1984711,1.8320611
1270,0.6727672,12.7945480,9.6844959,-58.2366409,76.0763321,11.0992365
1280,0.1412572,13.1441002,9.6150646,-59.4885483,70.7404556,20.0992374
1290,0.2202654,13.6516685,9.7706871,-60.0916023,62.6412201,27.5496178
