timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,9.9598284,1.7214222,1.0654143,8.6412210,45.8625946,7.1832061
10,9.8712435,1.5921360,1.2689204,7.3587785,43.7404594,7.1526718
20,10.0747490,1.5681942,1.4006008,7.6870227,39.2519073,6.6946564
30,10.4290895,1.7597293,1.3790531,8.3435116,34.1679382,1.5038168
40,7.9271612,1.2952565,1.9728121,10.3053436,29.9389305,6.7557254
50,9.8305416,1.5035510,1.4197544,9.9465647,27.2748089,14.3664122
60,10.1561518,1.6735384,1.8674678,10.5496187,29.3511448,13.0916033
70,10.4243011,1.6759326,1.4436963,8.6488552,4.4580154,9.2977095
80,10.2160063,1.6831152,1.4939742,7.0534353,-3.0076337,5.0152674
90,9.5791521,1.4269369,2.0781565,6.6412215,-8.1068707,5.0458016
100,10.2399483,1.6472024,2.0135133,7.3664122,-9.3129768,4.5496182
110,10.0891142,1.7573351,2.0925217,7.2137403,-8.6335878,4.3893127
120,10.0508070,1.5394639,2.2313845,7.4732823,-5.9465647,5.3587785
130,9.9430685,1.4963684,2.3223639,8.0076332,-3.3129771,6.7862597
140,9.8401184,1.5466464,2.5426292,9.1832066,-2.8625953,9.1145039
150,10.1010857,1.5203103,2.5498118,12.6030531,-9.3358774,11.6717558
160,10.4769726,1.5203103,2.5953014,14.6946564,-15.1755724,11.2137403
170,10.7092094,1.5969244,2.5905130,17.3129768,-20.6717548,8.5648851
180,10.9605989,1.6783268,2.4468615,19.4809170,-23.8091602,5.2213740
190,10.9941177,1.5897418,2.2242019,20.3893127,-23.9236641,2.2671757
200,10.8552551,1.5322813,1.9871773,19.9694653,-22.0458012,-0.0305344
210,10.6373835,1.4173602,1.7309990,18.7480907,-19.5877857,-0.8244275
220,10.4362717,1.2593436,1.7118455,18.0687027,-17.2137413,-0.2900763
230,10.4626083,1.1372399,1.7429699,18.6259537,-15.9618320,-0.1450382
240,10.1417866,1.1300575,1.7788827,20.3129768,-15.3969469,0.8702290
250,10.1010857,1.0366840,1.6759326,21.9618320,-14.3282442,3.6641221
260,10.6278067,1.1683644,1.3838415,22.9541988,-13.3587790,2.5877862
270,10.4745789,1.1156923,1.0797794,22.8778629,-13.2137403,1.3129771
280,10.2351599,1.1659702,0.8259954,21.7022896,-14.2824430,1.1450381
290,10.1753054,1.1444225,0.7805058,20.2366409,-15.4580154,0.8931298
300,10.0005293,1.1899122,0.9576758,19.0381680,-17.3893127,0.7251908
310,10.1178446,1.2976507,0.9073978,18.4427490,-19.2900772,0.6488550
320,10.3476868,1.3622938,0.8188128,17.7938938,-18.7633591,-0.6488550
330,10.2710724,1.2282192,0.6991033,16.5801525,-17.6030540,-2.7633588
340,10.0579901,1.0965388,0.6081241,14.9312973,-16.3511448,-3.4732823
350,9.7587166,0.9768293,0.5650287,12.8167934,-17.2977104,-3.4503818
360,9.5528164,0.8140244,0.5482694,11.3511448,-19.4045811,-1.7938931
370,10.3069859,0.6464311,1.0654143,13.4351149,-34.8625946,2.7633588
380,10.6637201,0.4979914,0.9696468,15.9389315,-39.3435097,3.3053436
390,10.9079275,0.4668669,0.7541697,17.1679382,-42.0000000,3.7557251
400,11.1210098,0.5506636,0.7733232,17.2366409,-46.7022896,4.3282442
410,11.2383251,0.5458752,1.0151364,18.3969460,-54.8702278,5.0763359
420,11.5615406,0.2992737,1.1492109,22.3282452,-68.5725174,5.7022901
430,12.1265697,-0.1604107,1.0462608,28.8931293,-86.2748108,6.5496182
440,12.7490587,-0.5291159,0.8092360,35.6030540,-108.2519073,8.4656487
450,13.8862991,-0.3734936,0.4644727,41.4809151,-129.9084015,9.2900763
460,15.2126799,-0.0454896,-0.3016679,46.2519073,-147.9007568,6.2671757
470,16.4217453,0.3639168,-0.9457048,49.4809151,-159.8931274,0.1374046
480,17.2501354,1.0654143,-1.9273225,50.7709923,-160.2977142,-7.5496182
490,18.1048603,1.6328372,-3.1603301,46.8167953,-148.4351196,-17.0992374
500,18.4759598,1.8890154,-4.5465660,36.7099228,-126.5877838,-30.6641216
510,18.3059731,1.8818330,-5.6766233,19.7099228,-108.6641235,-45.5267181
520,18.1264076,2.1715298,-6.2488346,-1.1679389,-97.3282471,-61.9771004
530,17.8438931,2.5976956,-6.3469963,-22.1603050,-87.9923630,-80.4656525
540,17.5206776,2.5929072,-6.1722202,-40.9923668,-79.2213745,-100.0229034
550,17.2860470,2.6623387,-5.8130918,-57.7709923,-76.1603088,-119.3435135
560,17.1447906,3.0980811,-5.3845320,-72.6946564,-75.5419846,-140.8702240
570,17.0418396,3.4428444,-4.8578105,-86.6106873,-69.5648880,-165.4351196
580,16.1775379,3.4404502,-4.4340386,-98.6030502,-55.6030540,-187.2366486
590,15.5861731,3.2944047,-3.7277529,-108.0000000,-39.8625946,-205.0381622
600,14.9062233,3.6726866,-3.2058196,-113.6717529,-20.7786255,-221.1374054
610,13.9772778,3.9671719,-2.8059900,-118.9236679,1.7633588,-235.5190887
620,12.1505117,3.8067613,-2.7772598,-124.6412201,21.5190830,-246.4122162
630,10.3165627,3.6128318,-2.0015423,-128.9923706,30.8167934,-250.1374054
640,8.9542685,3.6774750,-0.7134684,-127.5877838,26.9083977,-250.1374054
650,8.2575598,3.9528067,0.5075682,-119.9923630,15.7099237,-250.1374054
660,7.6518297,4.3526363,1.3527170,-109.9083939,1.3969465,-250.1374054
670,7.1011658,4.6662750,2.0542145,-100.0763321,-12.2748089,-250.1374054
680,6.2488346,4.7524662,2.4612267,-90.9083939,-23.4122143,-250.1374054
690,5.4467812,4.8673873,2.9137285,-82.5419846,-36.8702278,-250.1374054
700,5.0900469,5.1235652,3.5817075,-75.4427490,-45.7786255,-250.1374054
710,4.7716198,5.4300218,3.9623835,-69.5725174,-41.5572510,-250.1374054
720,4.4651632,5.0756817,4.0581512,-66.2824402,-26.7404575,-250.1374054
730,3.4548154,4.3502421,4.2808108,-62.7404594,-7.1145039,-250.1374054
740,2.2625091,3.7493007,4.7045822,-56.5648842,12.5267172,-250.1374054
750,1.3766589,3.3853838,5.2983413,-46.7862587,29.7480907,-250.1374054
760,0.2537841,3.0932927,5.4922705,-32.5267181,45.2213745,-250.1374054
770,-0.6296718,2.9137285,5.3222833,-18.0000000,53.9465637,-245.3740387
780,-1.3670821,2.9233053,5.0110383,-3.5572519,59.1984749,-233.0000000
790,-1.4820032,3.1603301,4.6064205,9.9236641,57.8702278,-222.1450348
800,-1.3790531,3.2920105,4.0916696,22.2137413,56.8473282,-214.5877838
810,-1.4891858,3.1028695,3.6463506,32.2442741,58.1984749,-209.6335907
820,-1.7429699,2.8323262,3.1268115,41.3969460,60.4274826,-204.4122162
830,-2.6575503,2.5522060,2.4444675,49.6564903,65.4961853,-198.1068726
840,-3.8977404,2.0973101,1.8411317,56.2442741,69.8015289,-186.7633514
850,-5.1738434,1.7740943,1.5442522,63.0458031,72.5725174,-169.1908417
860,-6.0213866,1.6112895,1.0702027,70.1450348,73.6641235,-147.7328186
870,-6.7109132,1.4436963,0.6895266,76.7862625,73.6564865,-123.5343475
880,-6.9670911,1.2976507,0.2513899,83.3206100,73.8015289,-97.7480927
890,-7.3118544,0.9696468,-0.3543400,88.4961853,72.8549652,-71.2900772
900,-7.1658092,0.5913648,-0.9385223,92.9236679,69.1603088,-43.3129768
910,-6.9694853,0.2705434,-1.7764885,95.0534363,63.8244286,-14.5496187
920,-6.4954362,0.0861908,-2.6336083,93.6335907,55.9236641,12.5954199
930,-6.1123657,-0.2920911,-3.3614421,86.7862625,50.2213745,38.4122124
940,-5.7987270,-1.0582317,-3.7684543,75.9694672,48.1603050,66.4656525
950,-5.6071916,-1.5155219,-3.7564833,63.9771004,45.5877876,96.5267181
960,-5.3342543,-2.1308286,-3.6176202,51.7251892,42.7175560,124.4732819
970,-5.1666608,-2.8826041,-3.1004753,40.4885483,42.2213745,154.5725250
980,-5.6359220,-3.6750808,-2.6431851,34.0458031,47.2366409,190.1374054
990,-6.8425937,-4.3981261,-2.6431851,31.2748089,59.2366409,236.9618378
