timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,4.5705075,1.9871773,8.8201942,-19.9618320,11.4503813,-32.9160309
10,4.1587071,1.8291607,8.9327211,-21.7022896,15.0458012,-33.9847336
20,3.5793133,1.7046629,8.9590569,-23.1068707,18.5343513,-33.3816795
30,2.9831600,1.6615674,9.0907373,-23.8931293,20.2290077,-30.4198475
40,2.6455793,1.6328372,9.2343884,-24.4885502,20.6030540,-26.5190830
50,2.2888451,1.6950861,9.3014259,-25.5725193,22.1679382,-22.0687027
60,1.9943599,1.7070571,9.2798786,-27.6870232,24.6259537,-17.0152664
70,1.6352314,1.5586174,9.5480280,-30.3358784,28.0000000,-11.1374044
80,1.2952565,1.2856797,9.7036495,-31.4885502,30.3358784,-3.5496182
90,0.8355721,1.0630201,10.0388365,-31.0381680,29.9770985,13.4045801
100,0.7876883,1.0103480,10.1082678,-29.8702297,27.5114498,21.5038166
110,0.9002152,0.9361281,9.8760319,-29.4503822,24.3587780,28.5648861
120,1.1731528,0.9720409,9.7682934,-29.8702297,20.6641216,33.5496178
130,1.4245427,0.9888002,9.5240860,-31.8854961,18.4503822,37.4122124
140,1.4748207,0.9193687,9.5815458,-34.2061081,16.9923668,40.4427490
150,1.3934183,0.8978211,9.6557665,-36.5343513,13.6641226,44.1526718
160,1.0749911,0.9792235,10.2878323,-42.1908379,6.0916033,60.1679382
170,1.1707586,0.9840119,10.8791971,-42.5190849,6.3435116,66.9083939
180,1.2377959,1.1923064,11.2814207,-41.4274826,7.8396945,73.4656525
190,1.3598996,1.2952565,11.6860390,-40.3969460,9.9618320,78.2061081
200,1.3790531,1.4436963,12.2462788,-39.9007645,13.9389315,81.0534363
210,1.5610116,1.5250987,13.2087431,-37.4809151,16.3969460,81.6946564
220,1.6543850,1.3168042,14.3866844,-31.2290077,17.6641216,80.4885483
230,1.4628497,0.8571198,15.7106714,-18.4045811,16.8320618,78.7938919
240,0.4261657,-0.0550664,16.5965214,19.0687027,-1.4732825,84.5954208
250,0.1723816,-0.5913648,16.7138367,37.3358765,-13.7251911,91.6564865
260,-0.1101327,-1.1923064,16.5558205,54.1755714,-27.0076332,103.4198456
270,0.0694315,-1.5729824,16.5606079,69.4351120,-37.8396950,118.0000000
280,0.7086801,-2.0230901,16.9891682,84.8167953,-47.2595406,135.0229034
290,1.9656296,-2.6072724,17.4009686,103.2977066,-49.9618340,150.6106873
300,3.8259149,-2.7174051,17.4009686,126.2519073,-47.2824440,163.3129730
310,6.3781209,-2.2960277,16.8024216,146.6641235,-38.9923668,167.3435059
320,8.9710283,-2.0135133,15.9093885,163.0686951,-25.7709923,161.2900696
330,10.9270811,-1.6328372,15.0139618,176.5114441,-12.7633591,147.4351196
340,12.4713326,-1.2138541,13.9150295,189.1679382,-0.8625954,127.8854980
350,13.5798426,-0.7541697,12.8041248,200.3511505,5.4274807,104.0610657
360,14.1448717,-0.3950413,11.2407198,209.8091583,6.9770994,76.7633591
370,13.8958759,-0.3064562,9.5504217,214.6183167,1.4198474,50.0763359
380,13.4314032,-0.4955972,8.0420828,215.3206177,-7.6335878,25.6488552
390,13.0770626,-0.5386927,6.9168134,213.5725250,-17.6641216,5.7404580
400,13.1153698,-0.3782819,5.8801293,210.3587799,-26.4809170,-11.0839691
410,13.3667593,0.0215477,4.9200592,204.1603088,-29.1908398,-27.9465656
420,13.4242201,0.3327923,3.6463506,192.8244324,-26.9465656,-45.4732819
430,13.3978844,0.7014975,2.9137285,177.7099304,-23.7633591,-61.8320618
440,13.4457684,0.9433106,2.2385671,160.2824402,-18.5419846,-78.4122162
450,13.2757807,1.1180865,1.7956421,143.0534363,-12.4580154,-95.2824402
460,12.7873659,1.1899122,1.0534433,124.4351120,-6.2748094,-111.8854980
470,12.1122046,1.1659702,0.7398046,106.2595444,-2.6030533,-126.2595444
480,11.3819771,1.0223188,0.3806761,87.3129807,-0.1068702,-139.0000000
490,10.3931761,0.9816177,0.2130829,69.3740463,-2.9083970,-149.9541931
500,9.4043760,0.9552816,0.2920911,52.2366409,-10.9236641,-159.8778687
510,8.3581152,0.8164186,0.7158626,38.9847336,-21.3511448,-166.8091583
520,7.3932571,0.7038917,1.1109039,29.2213745,-32.6870232,-171.7404633
530,6.5121951,0.6943150,1.1252691,21.3053436,-43.6717567,-174.9465637
540,5.8178802,0.7589580,1.3000449,13.4580154,-52.4656487,-177.3358765
550,5.1211715,0.6440369,1.2832855,4.9312978,-58.2519073,-178.9618378
560,4.1994085,0.6943150,1.2665262,-4.7328243,-62.3511467,-178.2519073
570,3.5434003,0.6344602,1.1923064,-16.7633591,-62.3435097,-175.6488495
580,2.5713594,0.6009415,1.1611819,-30.7251911,-56.5572510,-171.0915985
590,1.5155219,0.5793939,1.1923064,-45.8244286,-50.7404594,-164.5725250
600,0.5602403,0.6248835,1.4029950,-60.6641235,-45.8854980,-156.3511505
610,-0.3663110,0.5291159,1.7717001,-73.6335907,-43.0610695,-146.2290039
620,-1.4293311,0.1723816,2.0374553,-85.4045792,-43.1374054,-133.3053436
630,-2.2313845,0.2298422,2.1954718,-96.7709961,-47.1908379,-119.0992355
640,-2.8993635,0.2801202,2.6000898,-106.9083939,-56.0610695,-104.3435135
650,-3.4667864,0.0287303,2.7533178,-117.6335907,-68.6564865,-88.5954208
660,-3.7804251,0.2059003,3.0573800,-128.0458069,-87.0992355,-72.7786255
670,-3.7612717,0.1747758,3.5529771,-138.1450348,-108.9847336,-59.5038185
680,-3.5745249,-0.1651991,4.0198441,-147.2213745,-131.2748108,-48.2061081
690,-3.6559272,-0.1604107,4.5968437,-156.1297760,-150.6412201,-38.1679382
700,-3.5218527,-0.0718257,5.4467812,-165.9160309,-161.7099304,-28.5725193
710,-3.5170643,-0.0502780,6.8234401,-174.2061005,-162.0000000,-19.7938938
720,-3.6224086,0.0622489,8.3198080,-179.3740387,-153.7709961,-11.5648851
730,-3.9456241,0.1771700,10.3572636,-179.2290039,-136.4961853,-2.9083970
740,-4.7931671,0.2657550,12.3252869,-172.6106873,-119.9083939,7.5038166
750,-5.7388721,0.3639168,13.9605188,-158.2442780,-102.1297684,21.5572510
760,-6.4451580,0.4094064,14.8894644,-141.2290039,-82.7938919,39.3587799
770,-6.9934273,0.2633608,15.2653522,-124.2061081,-64.1603088,61.1832047
780,-7.2663651,0.2753318,14.9349537,-108.9847336,-46.7938919,86.9770966
790,-7.2424231,0.3567342,14.1879663,-99.9618301,-32.6946564,113.8015289
800,-6.4930420,0.4165890,14.1113529,-97.2900772,-22.1450386,139.5954132
810,-5.3246775,0.3184272,14.9541073,-96.3053436,-15.2595415,161.1068726
820,-3.8714044,0.3447633,16.4672356,-91.5877838,-12.6488552,177.6106873
830,-2.0733681,0.4572902,18.2532997,-79.2519073,-14.1603050,187.6488495
840,-0.1173153,0.8954269,19.6126022,-60.5801544,-14.2900763,190.5648804
850,1.5179161,1.3359578,19.6126022,-40.0610695,-11.7404585,187.6106873
860,2.4779861,1.5011568,19.6126022,-18.6946564,-6.7175574,182.3053436
870,3.2537034,1.3072275,19.6126022,1.2977099,-1.1068702,177.9160309
880,3.6271970,0.9624642,19.6126022,21.1679382,0.2671756,174.8625946
890,3.9982965,0.7829000,19.6126022,39.2213745,-4.4809160,175.6641235
900,5.2648225,0.5817881,19.6126022,55.8396950,-7.3282442,177.7480927
910,6.7611909,0.3950413,19.3187141,71.2290039,-7.2977099,179.6717529
920,8.4059992,0.0646431,18.7800217,85.5725174,-1.8702290,183.2366486
930,11.0443964,0.1125269,18.5669384,98.3053436,13.0000000,182.7557220
940,13.4673157,0.4189832,18.0569763,113.9389343,27.3969460,172.5572510
950,15.2677460,0.1388630,17.2764702,126.7938919,44.0610695,159.0763397
960,16.6755295,0.2944853,16.3187962,138.0534363,55.3816795,140.0305328
970,17.6786957,0.4764437,15.1719790,148.6717529,59.7786255,116.6259537
980,18.1742916,0.7278336,13.9078465,158.6183167,56.4809151,91.9007645
990,18.4951134,0.7374104,12.4952745,166.2748108,46.6030540,62.9847336
1000,18.2532997,0.7733232,10.9510221,171.5801544,34.0458031,34.7709923
1010,17.7672806,0.8427547,9.6126709,173.4274750,20.7938938,8.5267172
1020,17.1352139,0.8283895,8.3629036,172.8931274,8.2137403,-15.8549614
1030,16.4648399,0.8068419,7.2567883,169.4580078,0.1908397,-38.5496178
1040,15.5837793,0.7589580,6.4283986,164.5190887,-4.9847326,-57.9007645
1050,14.5854025,0.6320660,5.3941088,156.7862549,-6.8320613,-74.4198456
1060,13.6923695,0.6153067,4.3119354,145.5114441,-4.0610685,-88.3358765
1070,12.8160963,0.4525018,3.4955165,132.5343475,-0.4045801,-99.5725174
1080,11.6597023,0.2322364,2.7461352,119.0839691,1.6564885,-107.9694672
1090,10.6685085,0.0622489,2.2625091,105.7633591,0.6564885,-112.5190811
1100,9.9430685,-0.0143651,2.0015423,93.8854980,-3.7633588,-114.4503784
1110,9.4211359,-0.0143651,1.4436963,83.5572510,-9.5267172,-115.1984711
1120,8.9494801,0.0646431,0.8403605,71.7251892,-16.0992374,-116.0839691
1130,8.5400734,0.0526722,0.4692611,58.6183205,-23.1145039,-117.2977066
1140,7.8266053,0.1077385,0.0047884,45.4274826,-31.3664131,-118.4274826
