timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,0.5602403,1.9345051,9.7491398,0.5877863,-4.6106873,2.3129771
10,0.6943150,1.9416877,9.7228031,0.3511450,-4.2671757,2.4580152
20,0.6799498,1.9536586,9.7347746,-0.1068702,-4.6030536,2.5343511
30,0.7661406,1.9943599,9.7108326,-0.3740458,-3.4351146,2.5267177
40,0.7398046,1.9225341,9.7275915,-0.8167939,-2.7557251,2.0916030
50,0.8858501,1.9943599,9.7658987,-0.6946565,-1.9923664,1.9770992
60,0.8044477,2.0350611,9.7204094,-1.5343511,-0.8625954,1.3282443
70,0.8738791,1.9871773,9.6629486,-2.0381680,-0.4656489,0.6870229
80,0.8212070,2.0206959,9.6509781,-2.7099237,0.5114504,0.3816794
90,0.8738791,1.9608412,9.6892843,-3.4809160,1.4045801,-0.2748092
100,0.9026094,2.0183017,9.7275915,-3.9694657,1.2290076,-1.2442749
110,0.8068419,1.9560528,9.7802639,-4.0763359,1.3358779,-1.9312977
120,0.6919208,1.9153515,9.8856087,-3.7862597,1.0610687,-2.3053436
130,0.5051740,1.8052188,10.0220766,-1.4961832,-0.1526718,-1.2137405
140,0.3160330,1.7405758,9.9287033,0.3129771,-1.7022901,0.6641222
150,0.3926471,1.7812769,9.9789820,1.0305344,-2.5190840,1.4351145
160,0.4740495,1.8961980,9.7970228,0.9465649,-2.9236641,2.3740458
170,0.5722113,1.8315549,9.8449068,1.2900764,-3.1450381,2.9160306
180,0.6775556,1.9033806,9.7778702,1.2442749,-2.8396947,2.8396947
190,0.7589580,1.8746504,9.7515335,1.2061069,-2.9847329,2.7862597
200,0.8810617,2.0183017,9.7730818,0.7938932,-2.6870229,2.4656489
210,0.8451489,1.9632354,9.8233595,0.4198473,-2.3664122,1.8244275
220,0.8690908,1.9823889,9.7275915,0.2442748,-1.7404580,1.1679389
230,0.8355721,1.9680238,9.7204094,0.0763359,-1.4961832,0.6259542
240,0.7829000,1.8746504,9.8209648,0.0076336,-0.9312977,0.5114504
250,0.6655847,1.9273225,9.8975792,-0.0534351,-0.5267175,0.5496183
260,0.6584021,2.0015423,9.7251978,-0.1145038,-0.3511450,0.5267175
270,0.6703730,2.0135133,9.6414013,-0.5725191,-0.6259542,0.7022901
280,0.6967092,1.9967541,9.7395630,-1.0381680,-0.4885496,0.9541985
290,0.6991033,2.0302727,9.6414013,-1.6412214,-0.6335878,0.8625954
300,0.7829000,1.9536586,9.7156210,-2.2900763,-0.2977099,0.9770992
310,0.7685348,1.9297167,9.7204094,-2.3893130,-0.4122137,0.3816794
320,0.8571198,1.9488702,9.7682934,-2.5572519,0.3129771,0.1832061
