timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,1.7405758,0.9433106,9.8592720,-0.6183206,0.0992366,1.0763359
10,1.7142396,0.9504932,9.8425131,-0.4961832,0.0763359,1.1068702
20,1.7597293,1.0366840,9.9382801,-0.2824427,-0.3053435,0.8473282
30,1.7238164,0.9696468,9.8951855,-0.0610687,-0.6870229,0.7099237
40,1.6472024,1.0534433,9.8473015,-0.1984733,-0.6106870,0.9083970
50,1.6831152,1.0630201,9.8137827,-0.1374046,-0.6641222,1.0305344
60,1.6926919,0.9959828,9.6725254,-0.4732825,-0.5801527,0.8473282
70,1.6759326,1.0295014,9.7682934,-0.7557252,-0.5496183,0.8167939
80,1.7142396,0.9600700,9.7323799,-1.4274809,-0.3740458,0.7099237
90,1.7621235,1.0318956,9.7060442,-2.0076337,-0.1908397,0.5648855
100,1.7070571,1.0007712,9.7730818,-2.3358779,0.1297710,0.3969466
110,1.7094513,1.0510491,9.7802639,-2.3969467,0.0305344,0.3816794
120,1.6974803,0.9528874,9.8137827,-2.3587787,-0.0610687,0.6259542
130,1.7836711,0.9050036,9.8760319,-2.3206108,0.0381679,0.4809160
140,1.7357874,0.8978211,9.8473015,-2.3435113,-0.4198473,0.5114504
150,1.6160779,0.9169745,9.8185711,-2.0839694,-0.9770992,0.4045801
160,1.6472024,0.9504932,9.8209648,-2.1145039,-1.6412214,0.4503817
170,1.6112895,0.9720409,9.8137827,-2.2442749,-2.8625953,0.7022901
180,1.6208663,0.9840119,9.6581602,-3.0381680,-3.3740458,0.9465649
190,1.5562232,0.9792235,9.5121145,-4.5801525,-4.1984735,1.4198474
200,1.3838415,0.9480990,9.4019823,-6.3969464,-5.5114503,2.3511450
210,1.6208663,0.8906385,9.4522600,-8.8091602,-7.2137403,2.3893130
220,1.4580613,0.5410868,10.1968527,-11.2442751,-8.8931293,0.0687023
230,1.0390782,0.8643024,10.1872759,-8.4122133,-14.8396950,3.2213740
240,0.9696468,0.7996593,10.4482431,-7.2442746,-32.4198456,4.8396945
250,-0.3758878,2.3941894,9.3660688,-8.6183205,-57.9083977,14.5877867
260,1.7669119,-0.2585725,9.7563219,-11.2900763,-70.2977066,19.1832066
270,2.7964132,-0.5434810,9.9239149,-10.9847326,-78.9542007,11.6717558
