timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,6.1650376,4.4771342,6.3924856,-0.8931298,1.2595420,5.6564884,-2.5306582,2.1140692,9.4067707,22.6641216,59.0839691,-9.5343513
10,6.2248926,4.3143296,6.4547348,-3.4656489,0.6106870,4.7328243,-2.7700772,2.1739240,9.2080526,18.7480907,48.8931313,-14.2824430
20,6.3158717,4.1515245,7.2543941,-2.7938931,-1.8091604,2.8778627,-4.0820932,2.6671271,9.2583303,4.1603055,4.5496182,-25.5725193
30,6.3230543,3.8378856,7.0987716,0.7633588,4.9236641,-0.1603053,-4.7165532,2.8466914,9.0284882,-0.4122137,5.1755724,-3.6717558
40,6.3134775,3.8737986,7.0748301,-0.0687023,6.4045801,0.1145038,-4.6064205,2.9209111,9.0955257,-2.3664122,5.0534353,1.8702290
50,6.5241661,3.9575951,7.0101867,-1.1145039,5.1679387,-1.4122137,-4.2736282,2.7988074,9.2463598,-6.0916033,1.0076336,5.0229006
60,6.5098009,4.0102673,6.8809004,-1.4427481,5.4503818,-4.1374044,-3.7516949,2.7724714,9.2870607,-8.9694653,-1.1374046,5.1984735
70,6.2823529,4.0796990,6.7803445,-2.9465649,4.5572519,-6.7099237,-3.3686244,2.5569944,9.5887289,-10.2061071,-1.9007634,3.5343511
80,6.1195483,4.0557570,6.6965480,-4.6793895,0.8473282,-8.1068707,-3.0980811,2.4372849,9.6509781,-9.4885492,-3.5114503,0.8778626
90,5.9399838,4.1730723,6.6773944,-8.6412210,-2.9770992,-9.9465647,-3.0334380,2.3894010,9.0069408,-12.1984730,-14.1755724,-5.1984735
100,5.8681583,4.2113791,6.7492199,-9.5190840,-4.3587785,-10.5725193,-3.0980811,2.4420733,8.7172441,-17.4198475,-19.0229015,-9.0229006
110,5.9232249,4.2401094,6.8593526,-10.4656487,-8.2442751,-11.0916033,-3.1339941,2.3510940,8.8393478,-22.6641216,-22.2213745,-11.7328243
120,6.2584114,4.3981261,6.9718795,-10.2748089,-11.0763359,-12.0992365,-3.3853838,2.3271523,9.1529865,-26.0229015,-27.8320618,-13.6030531
130,6.5337429,4.4651632,6.8210459,-10.0076332,-11.9312973,-15.2290077,-3.5098817,2.2601149,9.4378948,-27.6335869,-33.3511467,-14.1145039
140,6.7635851,4.5561423,6.4738884,-12.5343513,-11.7251911,-19.6412220,-3.4907281,2.2337787,9.6485834,-28.8702297,-35.7862587,-14.3053436
150,6.6462698,4.6016321,6.3302369,-16.8854961,-8.4656487,-23.3969460,-3.4835455,2.1667414,9.7587166,-29.0916023,-35.1908379,-13.8625956
160,6.3446021,4.3957319,6.1674318,-22.0076332,-2.1297710,-24.6946564,-3.5817075,2.1906834,9.7730818,-28.8015270,-34.8854980,-11.9618320
170,6.0644817,4.2209558,6.2991123,-26.6183205,3.6564887,-22.3358784,-3.5817075,2.0566087,9.8473015,-28.2671757,-35.5877876,-9.8015270
180,5.8825235,4.1802549,6.3517847,-30.3511448,10.1145039,-19.1450386,-3.2848279,1.9895715,9.8065996,-27.7175579,-36.8396950,-8.3129768
190,5.7819676,4.2233500,6.5624733,-34.2748108,15.3740454,-16.0534344,-3.0741394,1.9368993,9.9646168,-26.6335869,-38.3129768,-7.0839696
200,5.8059096,4.2305326,6.8497758,-37.3358765,21.5801525,-14.3511448,-2.9041519,1.8698620,10.0555954,-25.5954189,-39.7557259,-8.6183205
210,5.6933827,4.1108232,7.1945391,-38.8625946,28.0381680,-12.9007635,-2.7892308,1.7908537,9.9885588,-24.5801525,-40.3740463,-10.0916033
220,5.4252334,4.0844874,7.7954807,-38.3206100,31.8778629,-11.4274807,-2.7293761,1.7357874,10.0939026,-23.8702297,-40.2824440,-11.9083967
230,5.2552457,3.8618276,7.9487090,-34.7404594,32.6488533,-9.4122133,-2.8993635,1.7549409,10.3213511,-22.6412220,-41.6793900,-12.3664122
240,5.1379304,3.5577655,8.2288294,-30.2442741,33.7557259,-6.5801525,-3.0238612,1.6687500,10.3668404,-21.1374054,-42.4045792,-10.8015270
250,4.9703374,3.2632802,8.3916340,-24.4351139,29.0763359,-3.2671757,-3.0071020,1.6232605,10.4243011,-19.7862587,-40.6183205,-9.1832066
260,5.0206151,3.1579359,8.4658537,-17.5572510,23.0992374,-0.7022901,-3.0525916,1.6065011,10.4123297,-18.5725193,-37.3358765,-4.9923663
270,5.1115947,3.1124463,8.4083929,-12.4809160,18.4885502,1.2366412,-3.0501974,1.5442522,10.4123297,-17.7175579,-32.3435097,-1.2748091
280,5.1259594,3.0238612,8.3269911,-8.7557249,18.0916023,4.2900763,-2.9711890,1.4556671,10.5320396,-16.7862587,-26.8244267,2.2748091
290,5.0732875,3.1651185,8.3269911,-6.5114503,18.0229015,7.8854961,-2.8395088,1.3742647,10.6732969,-15.3435116,-21.0763359,5.9007635
300,5.1259594,3.4404502,8.1881275,-4.9770994,17.7099228,9.6412210,-2.5785420,1.3048333,10.4099360,-14.1374044,-13.8244276,8.5343513
310,5.1570840,3.6271970,8.1498213,-3.9770992,17.9083977,9.4198475,-2.4157372,1.2449785,10.4075413,-13.3511448,-6.8091602,10.4656487
320,4.9918852,3.8019729,7.9558916,-3.4198472,17.2900772,8.1450386,-2.0997043,1.2713146,10.2902260,-12.6946564,-1.1603054,10.6183205
330,4.8625989,4.1060348,7.6709828,-4.6030536,15.4809160,5.9847326,-1.8985922,1.2449785,10.2854376,-12.1297712,3.9694657,9.6488552
