timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,-3.4524212,3.7660601,8.4754305,33.8396950,-112.7099228,-5.2366414,2.1427996,3.8737986,10.0843258,1.8473282,-2.5343511,-0.9770992
10,-3.0932927,3.4524212,8.1139078,38.3282433,-116.4045792,-3.5419848,2.1044924,3.8737986,10.0340481,2.5190840,-2.6259542,-1.0000000
20,-2.8466914,4.8961172,7.4387465,26.6564884,-123.3816757,-11.9618320,2.0470319,3.8618276,9.5312681,-1.4503816,-4.2442746,-1.0458015
30,-2.7461352,5.0637107,7.6374645,22.0458012,-124.8473282,-10.8396950,2.0302727,4.0030847,9.8640604,-1.0610687,-2.9694657,3.0000000
40,-2.9304879,4.6758518,8.2838955,19.0610695,-117.8549652,-6.0839696,2.1930776,3.7516949,10.0196829,1.0763359,-2.6946564,3.3587787
50,-2.3486998,4.4460096,8.6933022,15.6946564,-109.8778610,2.0305343,2.4133430,3.7708483,9.8209648,2.1374047,-0.6488550,3.4122138
60,-1.9033806,4.3454537,8.7603388,13.5801525,-91.1068726,10.9389315,2.6982515,3.7516949,9.7443514,2.9312978,1.8778626,1.9389313
70,-1.4077834,4.1467361,8.7627335,12.1679392,-73.1755753,15.9389315,2.6192431,3.7062054,9.7922344,2.9694657,2.8854961,-0.1908397
80,-0.8858501,4.5896611,8.6166878,9.2900763,-59.0228996,18.9007626,2.4061604,3.7014170,10.0651722,4.1068702,4.7786260,-0.5725191
90,-0.5698171,4.8602047,8.4443064,7.1374044,-60.3129768,16.3816795,2.3558824,3.7564833,10.1513634,6.1297708,6.5877862,-0.8473282
100,-0.2202654,4.9200592,8.5041609,4.9312978,-58.2977104,12.9847326,2.4157372,3.6463506,9.8784256,7.1450381,10.8549614,-0.0076336
110,0.1268920,5.0852585,8.8393478,3.1221373,-53.4885483,9.8167934,2.7197993,3.6559272,9.6988611,6.3435116,15.2137403,-0.8854962
120,0.3591284,5.1283536,8.9255381,3.2213740,-48.0000000,6.0839696,2.6934631,3.6942344,9.7611103,5.9923663,18.9618320,-2.0381680
130,0.3543400,5.0589223,8.6262646,3.4198472,-44.6183205,0.5419847,2.7054341,3.7301471,9.6892843,5.3893127,24.6641216,-3.5267177
140,0.3160330,5.0804701,8.6526003,1.6412214,-38.2061081,-4.5038166,2.6575503,3.7923961,9.6725254,4.8625956,32.5725174,-5.1450381
150,0.2298422,5.0134325,8.5328913,-1.3587786,-29.2977104,-7.5954199,2.4157372,3.9288650,9.7275915,3.9312978,43.2595406,-6.0458016
160,-0.1221037,4.8793583,8.3796635,-5.6793895,-21.9312973,-10.3435116,2.1092808,3.8929520,10.1010857,3.6412213,55.5343513,-5.2137403
170,-0.3447633,4.7452836,8.3078375,-11.3053436,-18.3511448,-12.4427481,1.8578910,3.7852135,10.6852674,5.6717558,69.9236679,-2.5343511
180,-0.4022238,4.7524662,8.3245964,-17.5190830,-16.1679382,-13.0229006,1.9033806,3.6966286,11.2622671,10.6717558,84.1068726,-0.0305344
190,-0.5315101,4.4172797,8.1713686,-23.9465656,-16.3358784,-11.8854961,1.9943599,3.5673423,11.7411051,18.4961834,93.8167953,-0.1755725
200,-0.5410868,4.2448978,8.3150196,-29.7404575,-17.8778629,-9.3740454,2.1835008,3.4667864,11.8632088,26.4656487,98.4732819,-2.4503818
210,-0.5650287,4.2903876,8.4467001,-33.9236641,-18.2977104,-6.1450381,2.1571648,3.6631098,11.6285782,32.4885483,96.3206100,-6.3511453
220,-0.6655847,4.3670015,8.5927458,-36.1526718,-22.1068707,-1.8396946,1.5921360,3.8857694,10.9797525,35.4656487,85.5572510,-11.5496187
230,-0.6440369,4.4460096,8.5640154,-37.2748108,-28.4427490,2.3206108,1.4101776,3.9504125,10.5511932,33.4198456,71.8473282,-14.3664122
240,-0.4477134,4.4771342,8.4706421,-39.5801544,-36.1832047,5.1984735,1.1252691,4.0749106,10.0436249,29.0458012,60.0381660,-16.2900772
250,-0.3591284,4.2113791,8.3222027,-44.3969460,-46.5801544,8.5648851,0.5315101,4.1946201,10.3165627,27.4198475,48.0228996,-15.9160309
260,0.0263361,4.0916696,8.3892403,-50.9618340,-48.9312973,11.2137403,0.1053443,4.2927818,10.4602137,28.5572510,33.6335869,-13.0381680
270,0.2633608,4.1347651,8.1929159,-58.6870232,-43.1221390,12.5801525,0.0383070,4.2472920,10.2423429,31.2671757,19.0992374,-8.2824430
280,0.8212070,3.6415622,10.9773588,-52.9771004,-42.4656487,21.9694653,0.3854645,4.5130472,8.7172441,12.4427481,7.1145039,-6.5343513
290,0.9528874,3.8714044,11.1090393,-34.8244286,-42.5190849,20.0229015,0.2513899,4.6447277,9.0979195,11.2900763,9.0229006,-5.9465647
300,1.1204807,4.1467361,11.2598734,-17.4580154,-40.4045792,15.6488552,0.1029501,4.6590929,9.4355011,11.9465647,9.4503813,-5.9770994
310,1.2306134,3.9312592,10.5607700,-4.2900763,-37.5801544,10.8320608,-0.0933734,4.6878228,9.7706871,14.8854961,8.8625956,-3.6793892
320,1.1061156,3.9982965,10.2136126,3.0152671,-37.3664131,6.2748094,-0.1580165,4.7237358,9.7395630,17.1450386,6.5801525,-1.1145039
330,0.9816177,4.0964580,9.7587166,4.6030536,-36.8854980,1.3664122,-0.0981618,4.7333126,9.4187412,17.9236641,4.8244276,0.8778626
340,0.6991033,4.0820932,9.5121145,1.8549619,-36.0305328,-2.2290077,0.1077385,4.7883787,9.3469152,17.4656487,3.6259542,2.0916030
350,0.2681492,3.8690102,9.8568783,-0.4809160,-41.2213745,-2.9083970,-0.0885850,4.6973996,9.1817169,15.8473282,2.2442749,3.4503818
