timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,2.0494261,1.0510491,8.3605099,-27.5190830,45.1603050,-39.1832047,-0.4165890,1.1683644,10.4817610,-0.1679389,-3.4809160,-1.3206106
10,2.3391230,1.1923064,8.5616217,-34.3587799,45.5954208,-39.8091621,-0.4501076,1.2473727,10.4745789,-1.0839695,-4.0076337,-0.8702290
20,2.4372849,1.1204807,9.3253679,-38.1526718,45.2977104,-41.1068687,-0.4357425,1.1372399,10.4290895,-2.6030533,-5.0763359,-0.7328244
30,2.4827745,0.9840119,9.6198530,-38.5267181,48.3129768,-43.8167953,-0.3423691,1.1875180,10.2638903,-4.2519083,-6.0305343,-0.1221374
40,2.2026544,0.9504932,9.7587166,-37.5114517,45.6259537,-46.6412201,-0.3040621,1.2665262,10.2375546,-6.1984735,-6.3282442,0.1221374
50,2.0661855,0.6895266,10.0532017,-35.0000000,41.5496178,-48.5190849,-0.3351865,1.2282192,10.2495251,-8.7251911,-5.6183205,-0.0839695
60,1.7525467,0.6679789,10.1034794,-34.1297722,44.9389305,-48.7022896,-0.2920911,1.2234308,9.9406748,-11.9083967,-5.0610685,0.9160305
70,1.4628497,0.6368544,10.0771437,-33.8396950,42.2061081,-47.7709923,-0.3806761,1.2066715,9.8640604,-16.4274807,-8.7633591,0.2977099
80,1.3910241,0.4884146,10.0220766,-31.1984730,35.2366409,-47.5038185,-0.4357425,1.1228749,9.7275915,-21.7328243,-12.8931293,0.6946565
90,1.2401901,0.4668669,9.8616667,-28.7480907,33.0992355,-48.0000000,-0.4477134,0.9504932,9.7491398,-27.1908398,-16.9007626,0.8473282
100,0.8283895,0.4118006,9.8401184,-27.5496178,26.1374054,-47.5801544,-1.1492109,0.8355721,9.4522600,-40.9007645,-6.7251906,4.9923663
110,0.6009415,0.4357425,9.8520899,-29.1450386,24.7251911,-46.5114517,0.3663110,1.9871773,9.6461897,-45.4732819,-13.8015270,7.4809160
120,0.0694315,0.3567342,10.0244713,-30.4732819,22.3129768,-43.4427490,-0.7350162,-0.0263361,8.6861191,-46.2824440,-11.8244276,0.1297710
130,-0.1819584,0.2442073,9.9574337,-30.3282452,17.0000000,-38.0839691,0.2202654,1.0749911,11.5926657,-49.7557259,-27.3587780,5.0992365
140,-0.3710994,0.1891410,10.1058741,-29.3129768,12.4122133,-31.4122143,-0.7972651,-0.4046180,9.6988611,-49.5954208,-23.0763359,-0.0152672
150,-0.5793939,-0.0454896,10.2040358,-28.2442741,10.9923668,-24.0763359,0.5482694,1.2377959,14.0036144,-51.9694672,-37.8244286,1.3969465
160,-0.6655847,-0.0430954,10.1753054,-27.8778629,12.2061071,-15.5114508,-0.6368544,-0.8188128,9.8616667,-45.7709923,-26.6641216,-2.3053436
170,-0.8427547,-0.1939293,10.4985209,-25.1068707,10.3511448,-6.1908398,0.0790083,0.4141948,11.8296900,-45.5496178,-16.5343513,0.9389313
180,-0.5339043,-0.1891410,10.5942879,-19.6793900,4.7480917,1.8702290,-0.2178712,-0.6033357,10.5655584,-35.3740463,-13.7938929,1.3969465
190,0.0000000,-0.2346306,10.9845409,-12.3816795,-3.4656489,7.0687022,-0.0957676,-0.4381367,10.7546988,-33.0534363,7.3053436,3.4732823
200,0.5051740,-0.1699875,11.0372133,-4.3893127,-10.2900763,10.3511448,0.0837966,-0.2825144,12.2702208,-29.9465656,12.2061071,11.4198475
210,0.9624642,0.0263361,10.9701757,3.7633588,-15.9312973,11.7709923,0.1604107,-0.6344602,11.3029680,-27.2366409,39.7633591,15.7404585
220,1.3407460,-0.0047884,10.6278067,9.6259546,-19.9923668,11.1145039,0.2705434,-0.3878587,12.4880924,-24.2442741,57.8625946,24.0076332
230,1.4197544,-0.0239419,10.5895004,13.9618320,-25.3664131,9.7786255,0.0814024,-0.8930327,12.1313581,-17.5954189,81.8549652,29.1374054
240,1.5442522,0.2442073,10.1322098,16.1679382,-30.2290077,8.5114508,0.0933734,-0.4908088,12.6054077,-8.1297712,99.3816757,34.7480927
250,1.5250987,0.1963235,10.0196829,18.2290077,-33.9847336,7.1755724,-0.3974355,-0.4644727,12.5335817,4.6641221,115.4961853,39.4580154
260,1.4843974,0.2274480,9.9263096,18.9236641,-33.9847336,6.8244276,-0.6272776,-0.1987177,12.2797976,17.6717548,123.8778610,44.8167953
270,1.5227045,0.3303981,9.4833841,17.6335869,-30.6946564,7.2595420,-0.8882443,-0.1915352,12.0738974,28.3206100,131.8854980,49.5725174
280,1.4556671,0.4046180,9.3445215,15.2213745,-26.6641216,8.1679392,-1.2354017,-0.2370248,11.9254580,36.5877876,139.1755676,54.7175560
290,1.4053892,0.4979914,9.2607250,11.6564884,-22.8473282,9.1908398,-1.7070571,-0.4860204,11.8368731,42.4503822,144.0305328,59.1145020
300,1.4987626,0.4405309,9.1841106,7.1755724,-18.7557259,10.4122133,-2.7724714,-0.8930327,12.1122046,49.3206100,148.7862549,63.7786255
310,1.6160779,0.3734936,9.2008705,2.9694657,-13.8854961,12.1908398,-4.0246325,-0.6344602,12.6676559,56.9389305,167.9160309,73.8625946
