timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,-5.1092005,4.3717899,1.7525467,153.3511505,-147.9694672,-207.9160309,-0.0119709,0.3303981,10.7499104,-0.8015267,3.9465649,-3.3511450
10,-5.4731169,4.6662750,1.5825592,133.7557220,-126.5496216,-193.6106873,-0.0885850,0.3495516,10.8361015,-0.2824427,3.9694657,-3.1450381
20,-5.8513989,5.2504573,1.4245427,113.9618301,-111.5038147,-178.4885559,-0.0885850,0.3519458,10.7499104,0.2442748,4.0992365,-3.8854961
30,-5.9040713,5.5018473,1.6160779,97.7557220,-102.0457993,-163.4656525,-0.1771700,0.3998296,10.7331514,0.9618320,3.5725191,-3.2748091
40,-6.0549049,5.6574697,2.2026544,88.6870193,-89.1984711,-148.4656525,-0.2130829,0.3687052,10.8528605,1.2900764,3.9465649,-2.3053436
50,-6.4523406,5.6790175,1.8219782,80.9389343,-76.4351120,-132.4732819,-0.1867468,0.3878587,10.8289185,2.1679389,3.5954199,-2.3816793
60,-6.0333576,5.7652082,1.2952565,70.4274826,-61.7022896,-117.4503784,-0.2657550,0.3734936,10.9749641,3.4656489,3.8854961,-1.5190840
70,-5.8585815,5.9399838,0.9911944,58.6946564,-45.6641235,-106.4580154,-0.2920911,0.3710994,11.0108776,5.4656487,4.7328243,-0.1297710
80,-6.0405402,6.0022330,1.1611819,48.4732819,-35.5877876,-98.5114517,-0.2035061,0.3280039,10.9821472,7.7175574,5.6946564,0.6717557
90,-6.2751703,5.6670465,1.2066715,40.1603050,-28.5038166,-90.1603088,-0.2466015,0.3303981,10.7977943,9.5267172,6.5114503,1.2519084
100,-6.5576849,5.5042415,1.1132981,33.7099228,-22.0000000,-81.5038147,-0.1268920,0.4357425,10.8049774,10.3053436,6.7099237,1.4351145
110,-6.4044566,5.3677726,1.1013272,27.9389305,-18.4122143,-73.3053436,-0.1412572,0.4381367,10.6972389,10.1603050,6.6870227,1.0305344
120,-6.6175399,5.2265158,1.2306134,22.4122143,-11.4503813,-65.7022934,-0.0526722,0.3830703,10.5104914,9.2519083,6.7404580,0.6641222
130,-6.9646969,5.0684991,1.1468167,17.1603050,-5.9923663,-57.5801544,-0.0742199,0.4070122,10.4697905,8.2290077,6.1145039,-0.4198473
140,-7.0341287,4.2257442,0.9504932,-12.3893127,-4.5954199,13.5648851,-0.4237715,0.4189832,10.7762470,2.2442749,3.3740458,-3.6335878
150,-6.0884237,2.0518203,0.9073978,-57.0610695,16.6030540,58.0000000,-0.5506636,0.5315101,10.8839855,5.6717558,1.5572519,-0.3587786
160,-6.4523406,1.4700323,1.3144100,-69.6183243,14.6335878,65.2824402,-0.4548960,0.5195391,10.7810354,6.4885497,1.7709924,-0.3282443
170,-6.9000540,0.7158626,2.4037662,-78.7480927,14.8244276,75.2442780,-0.4070122,0.5626345,10.7355452,6.6259542,1.6488550,-0.1832061
180,-7.5297260,-0.0694315,3.3758070,-79.3358765,15.3358774,89.0457993,-0.4501076,0.5578461,10.5990763,6.9770994,2.0076337,-0.4274809
190,-7.7787213,-0.5195391,3.8857694,-75.7557220,21.9541988,107.3435135,-0.3399749,0.5769997,10.4937325,6.6641221,1.9923664,-0.6870229
200,-8.4586716,-0.5506636,3.9097114,-71.8625946,43.7175560,132.6870270,-0.3208214,0.5362985,10.5847120,6.2595420,2.0763359,-0.9694657
210,-10.0843258,-0.4141948,2.5929072,-77.0763321,76.7633591,167.0610657,-0.3423691,0.6033357,10.5272512,4.9465647,1.8091604,-1.1221374
220,-13.0004492,-0.3208214,1.2832855,-95.9007645,99.6030502,215.0305328,-0.3184272,0.6655847,10.4099360,3.6564887,1.0992366,-1.7175573
230,-16.0386753,-1.2617378,0.0502780,-120.2748108,91.1679382,250.1297760,-0.2394189,0.6296718,10.4266949,2.2137403,0.8244275,-2.0992367
240,-17.2285881,-2.5689652,-0.3016679,-149.4809113,72.0305328,250.1297760,-0.3088504,0.6440369,10.5535870,1.0610687,0.6030535,-3.2519083
250,-18.0330353,-4.1347651,0.1436514,-184.6259613,64.6488571,250.1297760,-0.2896969,0.6344602,10.4003592,0.2671756,0.0076336,-3.6641221
260,-17.1783085,-6.7587967,1.0055596,-217.5877838,59.1221390,250.1297760,-0.3447633,0.6871324,10.5847120,-0.6717557,-0.6564885,-3.9007633
270,-14.8822813,-10.8001890,2.8107784,-242.8091583,42.4045792,250.1297760,-0.3519458,0.6488253,10.5464048,-1.5038168,-1.5572519,-4.1832061
280,-9.0117292,-17.9181137,6.7276726,-247.5190887,30.1908398,250.1297760,-0.3064562,0.6440369,10.6661139,-1.9160305,-2.9847329,-4.7557254
290,-0.4979914,-19.6131992,10.1968527,-240.2900696,81.6488571,250.1297760,-0.3232156,0.5674229,10.5416164,-2.4045801,-4.1145039,-5.2900763
300,10.2255831,-19.6131992,11.9757357,-232.8778687,148.0381622,250.1297760,-0.2992737,0.6177009,10.7594872,-3.1526718,-5.4198475,-6.1221375
310,19.6126022,-19.6131992,16.7521439,-231.7099304,173.7709961,250.1297760,-0.3136388,0.6081241,10.5703468,-3.7099237,-6.3358779,-6.9541984
320,19.6126022,-19.6131992,19.6126022,-198.5801544,157.3282471,250.1297760,-0.3543400,0.5051740,10.5320396,-4.3435116,-6.1526718,-7.6412215
330,19.6126022,-13.8623571,19.6126022,-124.6641235,175.2137451,250.1297760,-0.3232156,0.5841822,10.5200682,-5.3511453,-5.9694657,-7.4732823
340,19.6126022,-1.1252691,19.6126022,-15.4732828,143.8396912,250.1297760,-0.3375807,0.6057299,10.5966825,-6.0687022,-6.0687022,-7.9541984
350,19.6126022,1.8818330,19.6126022,93.8091583,98.6564865,83.6717529,-0.2992737,0.5315101,10.6900558,-6.4809160,-5.5954199,-7.8244276
360,19.6126022,0.7038917,10.0460186,118.9694672,-16.3511448,-94.4580154,-0.3184272,0.5602403,10.7499104,-6.8320613,-5.2366414,-8.0839691
370,16.6898956,0.2537841,5.6215568,85.1374054,-149.6717529,-161.9389343,-0.3710994,0.5626345,10.7403336,-6.5572519,-4.6030536,-8.1221371
380,9.0931320,0.5027798,6.7324610,40.8778610,-210.1984711,-144.4351196,-0.4572902,0.4979914,10.7858238,-6.1068702,-5.0763359,-7.7251906
390,7.2208753,0.7517755,8.9327211,13.3511448,-151.0534363,-86.5648880,-0.3495516,0.5147507,10.8289185,-5.5419846,-5.8015265,-7.9923663
400,7.0030041,2.4492557,9.9263096,-3.0992367,-29.2595425,-22.3664131,-0.3256098,0.4740495,10.7977943,-5.0763359,-7.3893127,-7.8854961
410,7.6733770,3.7301471,9.4211359,-14.6564884,70.2290039,23.6717548,-0.1532281,0.5602403,10.8121595,-4.6564884,-8.5954199,-9.1145039
420,8.7028790,4.1132174,8.8872309,-19.3740463,116.9847336,43.9083977,-0.0957676,0.5913648,10.8480721,-4.2366414,-9.6183205,-9.7557249
430,8.9183559,4.0485744,8.1498213,-16.6946564,123.3435135,46.6030540,-0.2992737,0.5434810,10.6948442,-4.3740458,-12.1832066,-10.7022905
440,9.0667953,3.7133877,7.4794478,-8.9007635,96.9312973,37.9847336,-0.1771700,0.5075682,10.7092094,-4.1068702,-13.8778629,-11.4274807
450,8.7794924,3.4667864,6.7683735,0.3129771,63.5877876,24.2900772,-0.1460456,0.4884146,10.6661139,-4.0534353,-14.2595415,-12.4274807
