timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,-0.0407012,8.5400734,-7.8792777,-78.0076370,-20.7709923,95.2442780,-0.2896969,11.7027979,6.0620875,-6.4732823,-13.3587790,-36.6183205
10,-0.2082945,8.8058290,-9.1721401,-98.9847336,-23.0305347,110.9618301,-0.5674229,11.5208397,5.9663200,2.5801528,-15.3587790,-32.7328262
20,-0.0909792,9.1649570,-11.0132713,-136.3358765,-16.5648861,130.2366486,-0.5243275,11.2790270,5.6766233,12.6717558,-15.8396950,-28.9694653
30,0.3806761,9.7635050,-11.3316984,-184.3053436,1.6030535,150.7786255,-0.3663110,10.9941177,5.2121506,22.7480907,-13.4580154,-24.3282452
40,1.0821736,10.3285332,-9.7850523,-222.8931274,15.2061071,163.6717529,-0.1532281,10.7858238,4.6183915,31.2748089,-6.1374044,-20.6412220
50,1.3072275,10.6373835,-7.4483232,-243.3358765,17.0458012,169.0534363,-0.0574605,10.5080976,4.1371593,36.9847336,3.6183207,-16.4656487
60,1.2689204,11.6142130,-2.9472473,-232.0686951,14.7633591,174.0458069,-0.2035061,10.2160063,3.7995787,40.7022896,11.5419846,-12.1603050
70,1.1851238,12.3635941,2.8993635,-176.0763397,0.0305344,180.0305328,-0.2226596,9.8999729,3.5338237,42.9083977,17.8167934,-6.0916033
80,0.2059003,12.1409349,6.1123657,-82.5343475,-38.3129768,189.7633514,-0.0598547,9.5719690,3.1651185,43.1145020,22.7175579,-0.8091603
90,-1.2330076,11.1257982,3.9408360,17.7099228,-86.3206100,209.5954132,0.0239419,9.2703018,3.0142846,41.3282433,23.0229015,4.9007635
100,-2.3822186,10.8097658,-0.8283895,90.2442780,-118.0763321,242.4809113,0.0239419,8.8704720,2.5737536,34.8549614,17.3893127,9.4274807
110,-2.3199697,10.2758608,-5.1139889,124.3816757,-135.3587799,250.1297760,-0.0885850,8.4490948,2.2720859,25.3740463,7.8778625,13.5419846
120,-1.0055596,9.3086090,-8.6837254,125.7480927,-132.8702240,250.1297760,0.1699875,8.0732069,2.4779861,15.4198475,0.4274809,17.7480907
130,0.4429250,8.6430235,-9.4474716,106.2671738,-114.0534363,250.1297760,0.2202654,7.4842362,2.7868366,6.7328243,-4.5801525,20.0992374
140,2.7724714,7.8457589,-9.5145092,79.7938919,-84.0992355,250.1297760,0.5003856,6.8904772,2.8826041,1.0076336,-5.7251906,21.4503822
150,5.5210009,7.2424231,-9.0428534,52.1374054,-49.2671738,250.1297760,0.6272776,6.3853035,3.3398943,-2.1297710,-5.3358779,20.7099228
160,8.3557215,7.6087341,-8.4131813,33.8473282,-17.2519093,250.1297760,0.9696468,6.1698260,3.6750808,-2.4580152,-3.0534351,20.1374054
170,9.5097208,8.1474266,-7.7547798,23.9312973,1.9389313,250.1297760,1.4173602,6.0572991,3.6104376,-0.9618320,0.0458015,18.5267181
180,9.1912937,7.3621325,-7.3118544,17.6946564,-3.6335878,206.1450348,1.8028246,6.0932121,3.4811516,1.2595420,5.8320613,16.9923668
190,9.0189114,5.6431046,-6.0525107,13.9923668,-28.0992374,156.7557220,2.0590029,5.9591374,3.1220231,2.1984732,13.2900763,14.4961834
200,9.8329363,3.2824337,-3.8833754,17.9083977,-62.6259537,102.8473282,2.1906834,6.1027889,2.6503677,-0.0992366,20.3282452,10.4045801
210,11.2646618,-0.0335187,-2.2816625,26.0534344,-103.2519073,41.8778610,2.2768741,6.2464404,2.3247581,-5.4198475,22.9389305,5.8473282
220,13.5151997,-4.9535780,-0.8451489,29.6870232,-150.6641235,-22.8244267,2.2170193,6.8641410,1.9440818,-12.5267172,20.7709923,-0.7709923
230,15.5167418,-10.7163916,0.9816177,20.1603050,-200.9923706,-81.8931274,1.9871773,7.3429790,1.9440818,-20.8931293,16.8549614,-5.3282442
240,16.6635590,-15.2246504,3.7852135,-4.4732823,-220.9313049,-112.7938919,1.7884595,7.8026633,2.0709739,-29.8244267,10.1374044,-8.9007635
