timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,3.9049230,3.1100521,4.0581512,40.7175560,82.1603088,-128.8473358,-1.2784972,1.5897418,10.3452930,0.0916031,-3.6183207,-3.3282442
10,0.2657550,3.5386121,3.3997490,4.2900763,109.6946564,-150.7557220,-1.1994889,1.6591733,10.4554253,-0.3740458,-3.9083970,-2.9236641
20,-5.4946647,3.3279233,3.0741394,-39.8854980,94.8244247,-159.7633514,-1.2545552,1.6519908,10.3668404,-0.7175573,-3.9847329,-1.9923664
30,-9.7012558,2.5665710,9.1529865,-60.4351158,-4.3740458,-127.4885483,-1.1683644,1.6400198,10.3859940,-0.8931298,-4.1526718,-2.7404580
40,-8.1282730,0.5602403,14.4680872,-49.6793900,-72.3435135,-94.0076370,-1.1372399,1.5969244,10.5703468,-0.8167939,-4.3206105,-2.2977099
50,-8.2096758,-0.0335187,16.4983597,-20.6870232,-164.8931274,-49.5648842,-1.1085097,1.5490406,10.4147243,-0.4885496,-4.5572519,-2.3053436
60,-5.7029591,-0.1843526,15.5071650,15.1526718,-198.9618378,-7.0000000,-1.1204807,1.6017127,10.4937325,-0.2977099,-4.4122138,-2.5877862
70,-2.4540441,0.0646431,15.3491488,51.3358765,-189.9694672,13.8091602,-1.1396341,1.5849534,10.5272512,-0.0381679,-4.0763359,-2.0000000
80,0.6751614,1.4628497,14.5734310,78.0076370,-159.6183167,4.4122138,-1.1276633,1.6615674,10.5057030,0.0000000,-3.7862597,-2.2137403
90,1.4413021,3.3207407,10.7594872,72.1755753,-106.2748108,-14.6183205,-0.8906385,1.6352314,10.3692341,0.4274809,-3.4045801,-3.4045801
100,1.2737088,3.6822634,7.8625183,39.8778610,-34.0763359,-15.1068707,-0.9768293,1.5921360,10.4793673,0.3587786,-3.9465649,-5.2671757
110,1.1324517,3.3949606,6.5864153,9.2671757,9.4427481,-14.0152674,-1.1468167,1.5945302,10.4506369,0.3435115,-4.8167939,-5.9694657
120,0.4189832,3.4907281,6.1698260,-16.6717548,26.3435116,-14.1832066,-1.1037214,1.6543850,10.4793673,-0.1068702,-5.2442746,-5.0152674
130,-0.0766141,3.7157819,6.2584114,-40.1526718,27.1755733,-13.6564884,-1.2114599,1.6160779,10.4673967,-0.0381679,-4.7175574,-4.3969464
140,-0.8954269,3.3782012,7.3669209,-57.3053436,55.8931313,-7.3511453,-1.2425843,1.5442522,10.4985209,0.1755725,-4.2748094,-3.9236641
150,-2.0278785,2.2361729,11.1928358,-54.6488533,19.1603050,5.0152674,-1.3407460,1.6950861,10.4554253,0.7022901,-3.3358779,-2.9847329
160,-0.4046180,1.4796091,13.6827927,-23.4045811,-24.3129768,10.5648851,-1.3168042,1.6088953,10.3548698,0.9694657,-3.1450381,-2.4580152
170,0.4261657,1.2377959,15.4473104,33.6335869,-67.5190811,-1.4122137,-1.2162483,1.6208663,10.4434547,0.8702290,-2.9312978,-1.9694656
180,-0.7230452,1.0773853,15.6172981,100.6870193,-177.3129730,-20.7938938,-1.2928623,1.6902977,10.3955708,0.4885496,-3.6335878,-1.6717557
190,-2.5402350,0.8810617,14.1472654,165.0000000,-250.1374054,-32.0076332,-1.2497669,1.6591733,10.3764172,0.1221374,-3.9694657,-1.1755725
