timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,5.9902620,3.8091555,6.7468257,-4.1603055,6.7862597,13.6183205
10,5.8801293,3.6942344,6.8282285,-11.4656487,14.3816795,11.5725193
20,5.8921003,3.7397239,6.9120250,-12.7328243,14.9160309,10.4274807
30,5.5210009,3.3925664,8.5855637,-4.8931298,9.3053436,1.4427481
40,5.5569139,3.3782012,8.5879574,0.6717557,2.4503818,-0.1679389
50,5.4779053,3.4332676,8.4083929,5.0076337,-2.7022901,-1.9389313
60,5.3869262,3.3303175,8.1929159,6.9236641,-6.5954199,-1.5038168
70,5.3510137,3.3422885,8.0492649,7.5267177,-6.7480917,-0.2061069
80,5.3893204,3.3925664,7.9678626,6.9618320,-4.8549619,0.8167939
90,5.5593081,3.3782012,7.9487090,5.9847326,-1.7862595,1.2137405
100,5.6933827,3.4524212,7.9415264,5.0152674,-0.0992366,1.1603054
110,5.8370337,3.4619980,7.8912482,4.0000000,2.7709923,0.6641222
120,5.9926562,3.4141142,8.0205345,3.3969467,5.7786260,-0.0992366
130,6.3182659,3.3877780,8.1234846,2.7633588,7.8549619,-1.3893130
140,6.5145893,3.3566537,8.1258793,2.0534351,8.0534353,-3.8320611
150,6.6438756,3.4093258,8.3557215,0.9160305,4.9770994,-7.0763359
160,6.9287844,3.3063757,9.0667953,4.1221375,-10.5648851,-14.8091602
170,7.2903070,3.2153964,9.2463598,6.7099237,-16.8167934,-18.4427490
180,7.5201492,3.2225790,9.4570484,8.6259546,-20.9541988,-22.4809170
190,7.9295554,3.1387823,9.9023676,11.9007635,-26.3053436,-27.6641216
200,8.5376797,3.2776453,10.0340481,15.7938929,-30.7480907,-33.9236641
210,9.8903971,3.2225790,10.0795374,13.0534353,-27.5725193,-39.3664131
220,10.7116032,3.4069316,10.6325951,11.6183205,-18.7633591,-51.9771004
230,10.9534168,3.3303175,11.3556404,13.6106873,-12.2290077,-67.1450348
240,10.6278067,3.3183465,11.8584204,18.1450386,-10.0992365,-78.3816757
250,10.4099360,3.5386121,12.1529055,24.5954189,-5.9923663,-85.3816757
260,10.1848822,3.6176202,12.3755655,31.4961834,0.1679389,-91.8625946
270,9.5959110,3.9959023,12.7658186,42.3129768,0.4961832,-97.2671738
280,10.1154509,4.5561423,12.8089132,54.3435097,-5.0916033,-101.1832047
290,11.2622671,5.4036856,12.9214401,66.1297684,-11.5267172,-110.6183243
300,12.6485033,6.0525107,12.7873659,76.1603088,-21.6259537,-127.0229034
310,13.5175934,6.6199336,12.7897596,81.8549652,-29.4198475,-147.9770966
320,13.5295649,7.1993275,13.1345234,87.9083939,-33.4885483,-168.8320618
330,13.6349087,7.3645267,13.2590208,94.2137375,-32.4274826,-190.2900696
340,13.4026728,7.4842362,13.4122496,101.1068726,-25.7862587,-210.2061005
350,12.2127600,7.4650826,14.0850163,109.3511429,-17.8931293,-228.9694672
360,10.3764172,7.2160869,14.7338419,126.5190811,-18.8473282,-244.3206177
370,8.9518747,6.7923155,14.9493189,152.3511505,-30.0992374,-250.1374054
380,8.0396881,6.3637557,13.7330704,178.7328186,-44.6564903,-250.1374054
390,7.2998838,6.3398137,12.1481171,199.8778687,-62.0458031,-250.1374054
400,6.7085190,5.9591374,10.5344334,216.3435059,-75.0916061,-250.1374054
410,5.8274570,5.5664907,8.6717539,226.2519073,-78.8473282,-250.1374054
420,4.8554163,5.3031297,6.9958215,229.1526642,-75.1145020,-250.1374054
430,4.1084290,4.8434453,5.3294659,228.0000000,-64.5801544,-250.1374054
440,2.9664006,4.7117648,3.9432299,224.5114441,-57.3587799,-250.1374054
450,1.8985922,4.6495161,2.4612267,218.7557220,-58.7251892,-250.1374054
460,0.5674229,4.3310885,1.1563935,208.8320618,-64.7633591,-250.1374054
