timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,2.4420733,-0.7541697,10.0220766,-1.3816794,-5.3740458,-8.0305347
10,2.4085546,-0.8020535,9.8975792,-0.6870229,-6.6106873,-8.9007635
20,2.3463056,-0.8331779,9.8951855,-0.1832061,-7.4961834,-9.4809160
30,2.0733681,-0.9528874,9.2679071,-0.7938932,-5.1145039,-6.9007635
40,2.0398495,-0.9217629,9.3181858,-1.5419847,-5.2213740,-6.4732823
50,1.9823889,-0.8523315,9.2750902,-2.7022901,-5.5496182,-5.9083967
60,1.8650736,-0.9097920,9.2008705,-3.1374047,-6.3893127,-5.3816795
70,1.7573351,-0.8978211,9.1936874,-3.5419848,-7.2900763,-4.3435116
80,1.7046629,-0.8523315,9.1003141,-3.9083970,-7.9770994,-3.5648854
90,1.6017127,-0.8379663,8.9518747,-5.1984735,-7.9847326,-2.1145039
100,1.5658000,-0.7374104,8.9279327,-6.6412215,-7.2061067,-0.6259542
110,1.5634058,-0.8571198,8.7435799,-10.5496187,-6.9770994,3.1068702
120,1.4867916,-0.9050036,8.7435799,-13.2442751,-7.2900763,4.4656487
130,1.4963684,-0.8547257,9.0428534,-15.4732828,-6.9007635,5.7175574
140,1.3431402,-0.9002152,9.2248116,-16.8473282,-6.6488547,7.3129773
150,1.3527170,-0.8690908,9.3804340,-17.2977104,-6.5343513,8.7862597
160,1.2377959,-0.8690908,9.4211359,-17.3206100,-6.4732823,10.5496187
170,1.0366840,-0.8379663,9.4402885,-17.6259537,-6.9618320,12.4732828
180,1.0223188,-0.7876883,9.4307127,-18.2595425,-7.2595420,14.5496187
190,0.8236012,-0.7302278,9.4450769,-19.3129768,-6.9770994,16.5267181
200,0.6919208,-0.6009415,9.3947992,-22.2213745,-3.6106870,18.4351139
210,0.3040621,-0.2801202,9.3277617,-27.8167934,4.0000000,20.3664131
220,0.1508339,0.0119709,9.3301563,-37.6030540,17.1832066,22.6183205
230,0.0909792,0.0454896,9.5145092,-50.5114517,36.4503822,23.0992374
240,-0.1699875,-0.4285599,9.7132263,-66.9770966,60.9923668,22.2519093
250,-0.8523315,-1.1635761,10.3859940,-83.4427490,82.7938919,20.4503822
260,-1.9991482,-2.0278785,11.3436699,-94.7938919,96.7099228,19.3587780
270,-3.3159523,-2.9807658,12.5934362,-97.6793900,98.2061081,20.6335869
280,-4.7045822,-3.7349355,13.7737722,-91.6259537,91.3587799,26.2213745
290,-5.8968887,-4.1802549,14.6213150,-77.6106873,78.2366409,37.1068687
300,-6.8713236,-4.5322008,15.1863441,-58.4274826,60.0992355,54.0839691
310,-7.3669209,-4.7907729,15.3276005,-38.2824440,40.2595406,74.7633591
320,-7.1729918,-4.7931671,14.9780493,-21.4656487,24.4809170,98.8015289
330,-6.5600791,-4.9487896,14.4776640,-9.2061071,15.3206110,122.3358765
340,-5.5856438,-4.8985114,14.0155849,-3.7175572,13.6564884,145.4580078
350,-4.2640514,-4.7309184,13.8072910,-3.8702290,18.7099228,164.6030579
360,-3.1148405,-4.6399393,13.8527803,-7.2671757,27.6946564,179.3664093
370,-2.1523764,-4.6279683,14.1329002,-11.3511448,38.9083977,189.5343475
380,-1.4556671,-4.9655490,14.5758257,-13.7404585,45.7480927,195.1526642
390,-0.9840119,-5.5018473,15.2366219,-11.7938929,43.8931313,199.1526642
400,-0.7038917,-5.8585815,15.9285421,-2.9312978,33.0152664,201.1755676
410,-0.0311245,-6.0477223,16.3906212,10.7862597,17.9923668,201.3511505
420,0.6679789,-6.3829093,16.3259773,25.4656487,4.0305343,199.1526642
430,1.2665262,-6.6630292,16.2086620,39.5343513,-9.5572519,195.9389343
440,1.7764885,-7.0341287,16.2661228,53.5648842,-22.4656487,192.4122162
450,2.3391230,-7.2543941,16.1440201,67.7786255,-33.7480927,188.9465637
460,3.1220231,-7.4243813,16.1655674,82.5419846,-42.2290077,185.1908417
470,4.1922259,-7.5321202,16.0003681,98.6717529,-45.4885483,179.6870270
480,5.0062504,-7.4962072,15.6651812,111.9312973,-45.8549614,171.9541931
490,5.7053533,-7.3764977,15.2629576,125.4580154,-46.7099228,162.9236603
500,6.4331870,-6.9790621,14.7889080,138.5267181,-46.3282433,152.4045868
510,7.1298962,-6.5002246,14.0969877,151.0839691,-45.1221390,139.4885559
520,7.5680327,-6.0189924,13.4218264,161.6488495,-45.0763359,124.6488571
530,7.9798336,-5.6024032,12.5886478,169.9618378,-45.3053436,108.7786255
540,8.3916340,-5.1594782,11.9781294,177.2824402,-45.8091621,93.1068726
550,8.9518747,-4.5322008,11.3915539,184.2519073,-46.3129768,75.2671738
560,9.0644016,-3.8570392,10.5847120,189.1374054,-44.6183205,56.2137413
570,9.0524302,-3.3207407,9.9071560,191.2977142,-46.0000000,37.7328262
580,9.1793222,-3.0597742,9.3205795,191.3816833,-48.9465637,21.0076332
590,9.4115591,-2.5857246,8.7794924,189.2213745,-50.5267181,5.3129773
600,9.8137827,-1.9105632,8.6909075,185.7022858,-50.8702278,-9.9694653
610,10.0388365,-1.1180865,8.6023226,181.4122162,-48.5038185,-25.9083977
620,10.3021975,-0.3734936,8.5616217,176.6870270,-40.4122124,-43.8015251
630,10.3883877,0.0359128,8.3988171,171.8549652,-26.7786255,-64.0992355
640,9.9191265,0.1125269,8.0660238,167.1984711,-10.6488552,-85.7938919
650,8.7387915,-0.1436514,7.5440907,162.1984711,2.5572519,-105.1526718
660,7.5153608,-0.5123565,7.0820122,159.0915985,10.4809160,-120.4045792
670,6.1913738,-0.9097920,6.5576849,158.0763397,9.7404585,-131.9694672
680,5.0301919,-1.1851238,6.0525107,158.8244324,1.1984733,-140.2748108
690,4.0437860,-1.3335636,5.3414369,160.4503784,-14.1068707,-145.5648804
700,3.4141142,-1.2066715,4.8218975,162.8931274,-35.1297722,-149.5725250
710,3.1387823,-1.0821736,4.2448978,165.5954132,-59.6946564,-154.0992432
720,2.9975252,-0.6679789,3.3494711,166.0152740,-84.3358765,-159.3435059
730,3.0645626,-0.1699875,2.4061604,160.7938995,-100.8702316,-164.5801544
740,3.1339941,0.3423691,1.6041069,148.6946564,-108.5801544,-170.3664093
750,3.0262554,0.5123565,0.9600700,132.0152740,-107.5343475,-175.8015289
760,2.6671271,0.6727672,0.6416427,110.9923630,-100.1832047,-179.9084015
770,2.0374553,0.7158626,0.4860204,89.7938919,-89.4503784,-181.4198456
780,1.2737088,0.6991033,0.6296718,69.0916061,-79.0839691,-179.2519073
790,0.5578461,0.7924767,0.9720409,51.2900772,-70.8320618,-173.6106873
800,-0.1843526,1.0654143,1.3407460,36.8320618,-64.7099228,-165.5419922
810,-0.6272776,1.3694763,1.6041069,24.7099228,-61.7251892,-156.4274750
820,-0.9576758,1.6088953,1.9153515,13.9847326,-62.4732819,-146.1297760
830,-0.7709290,1.8315549,2.1308286,3.4885497,-64.0916061,-136.8625946
840,-0.3639168,2.0326669,2.4660151,-7.0687022,-66.1374054,-131.6183167
850,0.0383070,2.1739240,2.8107784,-16.4656487,-68.5877838,-129.6793823
860,0.3734936,2.1404054,3.1459649,-24.4961834,-71.4427490,-130.7099304
870,0.4141948,2.1236460,3.7995787,-30.9236641,-76.8625946,-134.3587799
880,0.2154770,2.2481439,4.3717899,-34.0381660,-86.4732819,-139.8854980
890,-0.0694315,2.1547706,4.8625989,-33.7786255,-99.0381699,-145.7404633
900,-0.5099624,1.8914096,5.2289100,-32.2748108,-110.5267181,-150.3664093
910,-1.0175306,1.5538290,5.2743993,-30.6793900,-120.3435135,-152.9084015
920,-1.6136837,1.2401901,5.2600341,-30.6870232,-126.8396912,-152.7251892
930,-2.4277081,1.1037214,4.8410511,-33.5267181,-129.0229034,-150.5801544
940,-3.4404502,0.7805058,4.6686692,-39.3587799,-129.4198456,-145.3206177
950,-4.6279683,0.8020535,4.5345950,-46.9465637,-127.8320618,-135.4580078
960,-5.2265158,0.9289455,4.3478479,-56.5038185,-125.7633591,-121.1526718
970,-5.6718349,0.8236012,4.1611013,-72.4580154,-118.8625946,-104.6106873
980,-6.1051831,0.7829000,4.3358769,-88.3206100,-107.1755753,-85.8549652
990,-6.0668759,0.4141948,4.6830344,-105.1832047,-95.1450348,-66.0534363
1000,-6.1027889,0.0407012,5.0780759,-120.8625946,-81.1145020,-45.9771004
1010,-6.1027889,-0.0383070,5.7556314,-134.2595367,-68.4427490,-25.1984730
1020,-5.7795734,0.0239419,6.4523406,-145.2442780,-56.8396950,-6.0076337
1030,-5.2887645,-0.1723816,7.0173693,-155.6717529,-46.2213745,10.0229006
1040,-4.5369892,-0.4668669,7.7092900,-166.6259613,-37.7633591,22.6106873
1050,-3.6511390,-0.9552816,8.3605099,-178.6564941,-28.3740463,30.5114498
1060,-3.1363883,-1.5227045,9.5456333,-192.0076294,-20.7099228,34.0458031
1070,-2.9903426,-1.4652439,11.4394369,-198.8931274,-16.2061062,34.2977104
1080,-3.2034254,-1.5921360,14.3028879,-187.4809113,-16.7328243,32.0763359
1090,-3.7349355,-1.3335636,15.9429073,-160.7404633,-22.1908398,29.5954189
1100,-4.0988522,-0.7924767,15.8734760,-131.2595367,-28.7709923,28.1221371
1110,-4.3454537,-0.1460456,14.5231533,-106.6564865,-37.2748108,27.6030540
1120,-4.7764082,0.4381367,12.9693241,-91.9542007,-47.1374054,28.5343513
1130,-5.0780759,0.8954269,11.5567522,-87.2748108,-55.6106873,33.7557259
1140,-5.1092005,1.1827296,10.7020273,-94.3587799,-56.4198456,42.1450386
1150,-4.9727316,1.4006008,10.8672256,-107.8396912,-49.6641235,51.9389305
