timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,4.5010762,0.6105183,8.8656836,-17.4656487,-14.8625956,13.7557249
10,2.3798244,2.2672975,8.9494801,-21.2824421,-16.0458012,-1.7022901
20,2.3056045,2.2289903,9.2248116,-22.5419846,-26.9083977,-8.4732828
30,1.9297167,2.1092808,9.5863342,-21.1526718,-39.4732819,-12.6412210
40,1.6041069,1.9752063,9.8329363,-17.1526718,-50.6259537,-13.0458012
50,1.9847831,1.6256547,10.1010857,-11.5419846,-58.7099228,-12.0381680
60,2.2433555,1.6232605,10.0843258,-5.8854961,-63.5648842,-11.5725193
70,2.5258698,1.6855093,9.9478569,-2.1526718,-63.7328262,-11.7251911
80,2.5689652,1.7525467,9.8473015,0.3511450,-62.2824440,-11.1603050
90,2.6407909,1.8291607,9.7419567,1.8015267,-58.3816795,-10.0076332
100,2.8634505,1.6495966,9.8784256,0.9770992,-21.0534344,3.4198472
110,2.9759774,1.6879035,9.9263096,2.0610688,-10.5038166,5.6488547
120,3.0861101,1.7190280,9.9358864,2.9694657,-2.9312978,7.5725193
130,3.1196289,1.7453641,9.9622221,4.0152674,2.3053436,8.5190840
140,3.1914546,1.8746504,10.0005293,5.0687022,7.3816795,8.2366409
150,3.2010312,1.8746504,9.9478569,6.3893127,11.9923668,7.1526718
160,3.0478032,1.8195840,9.8616667,7.6335878,13.7862597,5.8396945
170,2.8658447,1.9105632,9.8496952,9.3358774,14.1068707,6.1068702
180,2.7676830,1.8722562,9.6821022,10.7175570,13.0076332,6.5877862
190,2.6790979,1.9225341,9.5887289,11.9541988,11.3969469,7.5190840
200,2.5426292,1.9512644,9.5097208,13.2748089,8.4427481,9.4427481
210,2.6240315,2.0757623,9.4043760,13.7938929,4.5190840,11.7557249
220,2.7796540,2.1308286,9.4259243,13.8244276,1.0610687,13.7862597
230,3.5074875,2.7509236,9.5216913,14.2977095,0.0152672,14.9465647
240,3.8426740,2.9137285,9.5671806,14.4732828,2.3587787,13.2977095
250,4.1682839,3.1483591,9.5791521,13.7557249,6.8854961,10.2977095
260,4.3334827,3.3686244,9.5791521,12.8625956,11.5038166,6.6259542
270,4.5202298,3.6248028,9.5432396,11.7328243,14.1908398,2.7938931
280,3.7923961,4.0509686,9.2104464,8.9312973,12.4122133,-0.8244275
290,3.7876077,4.1491303,9.4307127,7.4427481,6.6870227,0.7022901
300,4.0102673,4.6566987,9.6725254,7.3740458,-0.3282443,2.1908398
310,4.4795284,5.0780759,10.0148945,8.8091602,-4.0610685,2.7786260
320,5.1092005,6.1410961,10.4602137,13.9312973,-3.6641221,-4.5190840
330,4.8578105,6.4379754,10.2638903,15.7633591,0.7786260,-10.4274807
340,4.3454537,6.6821828,10.2112179,16.4427490,6.7633586,-15.3740454
350,3.6655040,6.7827387,10.1968527,16.2595425,10.5954199,-18.4885502
360,2.9496415,6.8497758,10.1920643,15.5572519,10.0381680,-18.8473282
370,2.3032103,7.0077925,10.4602137,16.4885502,6.5267177,-16.9007626
380,1.8195840,7.1658092,10.4195127,18.2519093,-1.6717557,-12.1908398
390,1.4245427,7.0508881,10.2638903,20.7938938,-12.1908398,-5.7786260
400,1.2784972,7.4555058,10.2471304,22.6488552,-25.9694653,1.7404580
410,1.6615674,7.8601241,10.3045912,22.9465656,-40.4274826,8.0610685
420,2.5210814,8.1354561,10.4027529,22.3435116,-54.2442741,11.9465647
430,3.4667864,8.4538832,10.8576488,19.9389305,-57.4427490,13.9007635
440,4.1132174,8.8154058,10.9773588,16.0916023,-55.8244286,12.8015270
450,4.2257442,9.1242561,11.1976242,9.8702288,-52.3969460,10.1068707
460,3.7708483,9.3110027,11.5974541,7.0000000,-47.4580154,10.6717558
470,3.3231349,9.3708572,11.5711174,5.5038166,-40.7557259,16.5725193
480,2.6599445,9.5456333,11.8129311,9.8396950,-44.0000000,23.3206100
490,2.1499822,10.2303715,11.5375986,19.6335869,-57.1450386,33.3206100
500,2.3822186,11.2526903,11.0372133,27.1603050,-70.4732819,42.4045792
510,2.8179610,11.9877062,11.0180597,33.4580154,-84.0457993,47.1450386
520,3.3590479,12.3540173,10.4410601,42.3435097,-102.5725174,47.1145020
530,3.9384418,12.1864243,8.6621771,45.4732819,-117.7480927,45.5801544
540,4.5106530,12.1169930,6.4858594,39.7251892,-124.6488571,43.0610695
550,4.6590929,12.1720591,4.8218975,26.6641216,-122.4503784,40.0992355
560,4.7907729,11.8392668,3.6200144,9.6106873,-115.4656525,36.7633591
570,5.0038562,10.8528605,2.8826041,-8.6106873,-98.0229034,32.0610695
580,4.9751258,9.3900108,2.1858950,-24.2137413,-68.6259537,26.7862587
590,5.2384863,7.5680327,0.8259954,-41.8244286,-31.0458012,17.4656487
600,5.2289100,1.3670821,-1.7381816,-79.5038147,34.4122124,-24.3664131
610,5.0349803,-2.7461352,-2.3630650,-93.6335907,43.2824440,-55.2366409
620,5.2384863,-7.6542239,-2.4947455,-104.7328262,27.3435116,-90.4732819
630,7.0724359,-14.8032732,-1.6902977,-114.6564865,0.0152672,-128.2595367
640,9.1338329,-19.6131992,-0.0167593,-115.5801544,-11.6183205,-171.3587799
650,7.2519999,-19.6131992,0.5746055,-117.6564865,-8.5877867,-195.1832123
660,1.5849534,-19.6131992,0.0143651,-140.0839691,-1.9083970,-176.3893127
670,-3.7325413,-19.6131992,1.0318956,-184.9618378,-4.3282442,-116.6259537
680,-4.0701222,-19.6131992,6.2272868,-230.8244324,-33.1832047,-47.4427490
690,-0.3160330,-19.6131992,16.0434628,-235.8549652,-59.5954208,-4.2290077
700,2.1236460,-19.6131992,19.6126022,-180.3587799,-68.8167953,15.6946564
710,3.9097114,-17.4488525,19.6126022,-68.3816757,-15.4809160,26.5190830
720,4.5202298,-14.3747139,19.6126022,72.9389343,87.7404556,40.6946564
730,4.9847026,-13.9820662,19.6126022,190.0229034,187.8625946,56.9694672
740,4.6686692,-14.1017761,14.2430334,250.1297760,240.7328186,76.8473282
750,4.0126615,-12.9358053,3.7469065,250.1297760,235.5419922,100.4122162
760,4.7572546,-10.2207947,-3.7397239,250.1297760,195.1297760,121.8396912
770,6.6007805,-6.1770086,-7.2184811,199.7786255,139.9007568,125.8473282
780,8.7747040,-1.3239868,-6.7468257,143.1221313,96.2748108,111.6488571
790,9.7802639,2.0709739,-3.8283088,92.6183243,79.8854980,87.1221390
800,9.5049324,3.8498566,-0.4141948,55.6946564,81.8091583,62.5038185
810,4.4124913,7.4914188,10.2830439,21.0687027,-32.8854980,11.8167934
820,4.8721757,7.8888540,11.4801388,29.9160309,-52.0610695,5.5877862
830,4.7165532,7.8888540,11.8177195,40.7251892,-63.7480927,0.5114504
840,4.2879934,7.6829538,11.7051926,51.0534363,-66.4885483,-0.5419847
850,3.8570392,7.8433647,11.1186161,57.5114517,-57.6946564,3.2290077
860,2.3558824,7.6230993,8.3940287,6.0458016,48.7709923,57.2977104
870,3.0071020,7.7475972,8.5735922,2.7557251,46.3358765,64.6259537
880,3.9935081,7.9894104,8.7148495,1.2824427,37.5801544,63.5419846
890,4.9631548,8.6454182,8.9111729,1.8396946,30.0076332,55.5725174
900,5.6646523,9.1434097,8.7723103,1.8167939,28.9236641,41.1374054
910,2.6048782,10.0196829,8.2767134,-12.9312973,26.9007626,9.0687027
920,1.7788827,9.8760319,8.7316093,-19.1755733,22.0992374,11.5038166
930,1.6328372,9.5216913,9.5480280,-22.7099228,14.4427481,21.2824421
940,2.4013720,9.9813757,10.4362717,-23.5114498,10.4351149,31.0992374
950,4.6495161,10.7690639,11.2359314,-23.1145039,16.6106873,34.2366409
960,7.4219875,11.9230633,11.7674408,-24.4656487,35.3435097,23.9236641
970,9.2631187,13.0052376,12.2797976,-26.5877857,61.4885483,-0.0763359
980,9.3445215,13.5199881,12.5718889,-28.3435116,86.3893127,-34.1908379
990,6.8186517,12.8424320,13.0914278,-24.5343513,91.6259537,-67.7022934
1000,2.8203552,11.6573086,13.4481621,-11.9007635,69.7709961,-87.7480927
1010,-1.7597293,10.3428984,13.5439301,6.7938933,24.2442741,-87.3282471
1020,-5.2217274,9.6916790,13.3547888,29.5190830,-40.9465637,-66.1603088
1030,-6.5768385,9.6366129,12.7227230,48.1755714,-110.7099228,-31.7022896
1040,-5.5186067,9.9406748,12.0260134,56.3435097,-162.3282471,4.3969464
1050,-2.5689652,11.1257982,12.2271252,57.9771004,-181.4351196,34.7557259
1060,1.0702027,12.8160963,12.5144281,54.2213745,-164.8778687,51.9007645
1070,3.9552009,14.4585104,12.9046812,46.3740463,-113.9083939,56.0610695
1080,4.7764082,15.8974180,12.7442703,41.6106873,-56.5343513,51.3740463
1090,4.3670015,16.7186241,11.4131012,38.6488533,-8.2977095,44.9160309
1100,3.6343796,17.4895535,9.1601686,32.3358765,22.9541988,39.0534363
1110,3.6128318,17.4225159,6.4331870,20.4580154,30.1832066,30.7099228
1120,4.1850433,14.9158001,2.5115047,-8.8091602,-18.1526718,0.8778626
1130,4.0844874,13.6971579,1.8100072,-16.6641216,-68.0916061,-18.0916023
1140,3.3686244,11.9877062,0.8834559,-20.2824421,-121.8244247,-33.1221390
1150,3.0980811,8.4562769,-0.2106887,-25.7633591,-172.3053436,-42.5038185
1160,3.0406206,4.5345950,-1.1420283,-31.7404575,-206.2824402,-46.0458031
1170,3.4811516,0.6488253,-1.7764885,-38.9160309,-221.0381622,-42.8244286
1180,4.5657191,-3.4643922,-2.7174051,-51.5343513,-207.2977142,-37.7709923
1190,5.7747850,-7.9415264,-3.3494711,-70.0076370,-173.6106873,-31.4732819
1200,6.6319046,-12.8232784,-3.5625539,-92.4198456,-131.5801544,-24.2519093
1210,7.2591825,-16.9125538,-3.4883339,-116.9465637,-82.3816757,-13.3053436
1220,7.4770536,-19.6131992,-3.2369442,-142.9923706,-36.4656487,1.2900764
1230,7.1658092,-19.6131992,-3.0932927,-171.3511505,-10.6717558,17.8549614
1240,6.6127515,-19.6131992,-2.0781565,-204.9541931,-18.2137413,37.6183205
1250,7.1658092,-19.6131992,0.2154770,-241.6030579,-48.0076332,53.7557259
1260,7.5416965,-19.6131992,4.4005203,-250.1374054,-79.0152664,58.8931313
1270,7.6422529,-18.0904961,10.4650021,-250.1374054,-101.1908417,48.7328262
1280,6.6151457,-15.2677460,18.5765152,-250.1374054,-130.8320618,28.9770985
1290,5.1020179,-12.8041248,19.6126022,-212.2748108,-150.1145020,11.1374044
1300,3.9552009,-11.3245163,19.6126022,-111.9770966,-143.1755676,7.0687022
