timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,7.0628591,1.4484847,7.9127960,-28.8091602,-19.0000000,11.6641226
10,7.1442614,1.4269369,8.0277176,-20.4961834,-8.4961834,13.2137403
20,7.3262196,1.2784972,7.9511032,-12.4961834,5.3129773,9.8015270
30,7.1682034,1.1707586,7.8792777,-5.1526718,7.8244276,4.0839696
40,7.0628591,1.3718705,7.7236552,-0.9618320,0.3740458,-1.9847329
50,6.9934273,1.4843974,7.6853480,-1.5419847,-12.1603050,-9.9770994
60,7.0508881,1.4436963,7.7595682,0.0458015,-15.9923668,-12.8931293
70,7.1107426,1.4029950,7.7308378,1.9236641,-15.9236641,-14.9541988
80,6.9048424,1.4101776,7.7835097,3.2900763,-12.5725193,-15.4503813
90,6.7492199,1.3598996,8.0612354,8.2977095,-9.3358774,-8.4198475
100,7.0221577,1.5131277,8.3557215,12.2519083,-15.9541988,-6.4427481
110,7.5225434,1.6543850,8.3389616,16.6870232,-20.8396950,-6.8549619
120,7.6853480,1.8602852,8.0540533,20.3664131,-21.4427490,-8.2213745
130,7.8457589,1.9105632,7.8625183,22.2213745,-20.8702297,-8.8244276
140,8.4036045,2.3127871,7.3860745,22.0610695,-20.0534344,-10.8549614
150,8.3988171,2.3846128,7.1729918,18.6335869,-17.0076332,-13.3664122
160,8.3605099,2.5929072,7.0341287,14.3053436,-15.1374044,-13.6183205
170,8.3916340,2.5258698,7.1921453,11.0381680,-13.1221371,-13.5801525
180,8.8082228,2.4875629,7.5656385,9.9847326,-13.4274807,-15.2595415
190,9.0979195,2.5546002,8.1186962,10.8854961,-14.6488552,-19.4274807
200,9.0979195,2.6407909,8.5664101,13.5267172,-14.2977095,-24.4885502
210,9.2894554,2.5067163,8.7100611,15.8931293,-12.1984730,-30.2366409
220,9.1386213,2.5043221,8.7890692,17.4961834,-9.3206110,-35.2061081
230,9.0069408,2.7150109,9.0644016,20.3053436,-8.4427481,-38.8015251
240,8.8321648,2.9089401,9.3804340,25.7786255,-11.2213745,-42.6106873
250,8.7483683,3.2249732,9.5671806,32.8778610,-16.1145039,-45.5725174
260,8.9087791,3.4787574,9.5911226,40.5419846,-22.0152664,-47.2290077
270,9.3732519,3.9312592,9.4977493,48.5801544,-28.6488552,-49.6641235
280,10.0723553,4.4364328,9.3038206,56.9160309,-35.6183205,-53.5267181
290,10.7930059,4.7189474,8.6334467,64.3664093,-45.2442741,-62.3969460
300,11.6405487,4.7381010,8.0684185,69.1068726,-57.8091621,-73.4045792
310,12.8759508,5.0493455,7.6087341,71.2442780,-70.9618301,-89.0534363
320,13.7019463,5.3055239,7.0580707,70.5877838,-74.3969498,-111.7099228
330,13.4960461,5.3294659,6.6510582,66.0000000,-75.1450348,-134.8625946
340,13.0962162,5.0301919,6.3350253,58.9007645,-67.0916061,-154.5648804
350,11.9589767,5.4779053,5.8633699,49.8244286,-55.1603050,-165.6488495
360,11.4442253,5.5497313,5.9950504,40.2213745,-42.5954208,-173.0305328
370,10.9270811,5.3797436,6.1554613,34.5877876,-33.0534363,-180.0915985
380,10.6780853,5.3629842,6.3326311,33.4045792,-30.5038166,-187.6793823
